,language1_text,language2_text
334101,Tadaw ta nag-iisip an mga nasyon nin pagtumang? Tadaw ta nag-iisip an mga tawo nin mayong kamugtakan?,Ango solian da no Dios no nasiones aya. Ango paro o aro a planohen da a abo so kayayawan. 
334102,"Nagrerebelde an saindang mga hade, nagbuburonyog an saindang mga pamayo tumang sa Kagurangnanasin tumang sa hade na saiyang pinili.",Nayprepara sa o patopatol no mondo aya as kano naychakasa sa o manyokoyokod sira a omarap so Dios kano tinongdo na a Patol. 
334103,"Olay ninda, ""Putolon ta an gapos ninda sato, haleon ta an sakal na ibinugtak sato.""","Vatahen da no tawotawo, ""Librien ta o karakohan ta do panyokoyokoran da as kararayaw ta so ipakapamarin da."""
334104,Nagngingisi an nagtutukaw sa kalangitan; pinagtutuya-tuya sinda nin Kagurangnan.,Amna mayak o Dios do trono na do kapaypalawong na do plano da sa a di makapakatongtong. 
334105,"Dangan sa kaanggotan, sinda saiyang pinatanidan, asin pinatakot sinda sa saiyang labi-labing kaanggotan.","Do kwanasaw am ipapanmo na dira no Dios o kaket na nira a manda do kasinchad da do ipakapamarin na as kamo da do kavata na sia, "
334106,"Nagtaram siya, ""Ibinugtak ko an sakong hade sa Sion, an banal kong bulod.""","""Tayto dana o pinidi ko a maypatol do Sion a niaya so manamonamo a kavahayan ko."""
334107,"Ihahayag ko an dekreto nin Kagurangnan: Nagtaram siya sako, ""Ika an sakuyang aki, ngunyan na aldaw nagin ama mo ako.","No pinidi naya no Dios a Patol am niaya o nitbay na, ""Ipapanmo ko sa anti o abo aya so pandan a plano no Dios, takwan vinata diaken no Dios, 'Imo o Manganak ko as do sicharaw am nayvadiw ako a Ama mo. "
334108,"Maghagad ka asin ipapamana ko saimo an gabos na nasyon, ipapasadiri ko saimo an bilog na kinaban.","Akdawen mo diaken o atavo sa nasiones, ta itoroh ko sa anti dimo o atavo a kavahayan do mondo aya. "
334109,"Babarion mo sinda sa paagi nin sarong sugkod na lansang; roronoton mo sinda siring sa sarong koron.""","Oyod anti a rakoh o ipakapamarin mo, ta akma anti so kayeyet no kapsapsa sia no barita o banga.'"""
334110,"Kaya, mga hade, hinanyoga nindo an patanid na ini; kamong mga pamayo nin kinaban, horophoropa an katukdoan na ini:","Dawa adngeyen nio ya, inio a patopatol kano manyokoyokod do mondo aya tapian makasolib kamo as kapakatanggal nio. "
