Book_Code,Chapter,Sentence,Text
GEN,1,1,"Sa kauna-unahan, gingtuga it Dios kag langit ag duta."
GEN,1,2,"It kato, kag kalibutan ay waya it korte ag waya't suyor."
GEN,1,3,"Kag marayom nak katubian ay libon it karuymanan ag sa ibabaw it tubi, kag Ispirito it Dios ay raha nak nagbabantay."
GEN,1,4,"Ag nagsiling kag Dios, ""Magkainggwa't hadag!"" ag nagkainggwa matuor it hadag."
GEN,1,5,"Nakita it Dios nak maado kag hadag, ag Ida ingbuyag kag hadag ag ruyom."
GEN,1,6,"Gingtawag it Dios kag hadag nak ""adlaw"" ag kag ruyom ay ""gab-i."""
GEN,1,7,Naglipas kag gab-i ag nag-abot kag aga.
GEN,1,8,Imaw kato kag unang adlaw.
GEN,1,9,"Ag nagsiling kag Dios, ""Magkainggwa it kalawakan sa tunga it katubian agor mabuyag kag tubi sa ibabaw ag kag tubi sa ubos!"""
GEN,1,10,"Nagbuyag matuor kali, ag nagkainggwa't kalawakan sa tunga it katubian."
GEN,1,11,"Ag kaling kalawakan ay gingtawag it Dios nak ""langit."""
GEN,1,12,Naglipas kag gab-i ag nag-abot kag aga.
GEN,1,13,Imaw kato kag pangruhang adlaw.
GEN,1,14,"Ag nagsiling kag Dios, ""Magtipon kag tubi sa ubos it langit sa usang lugar ag magyuaw kag uga nak lugar!"" ag natuman matuor."
GEN,1,15,"Gingtawag it Dios kaling uga nak lugar nak ""kadutaan,"" ag kag tubi nak nagtipon ay ""karagatan."""
GEN,1,16,Ag nakita it Dios nak kali ay maado.
GEN,1,17,"Masunor, nagsiling kag Dios, ""Magtubo sa duta kag mga hilamunon, mga tanom nak nagbubunga it busoy, ag mga kahoy ra nak nagpapamunga it di busoy, kumporme sa inro iba't-ibang klase!"" ag natuman matuor."
GEN,1,18,Kinang tanang klase it tanom ay nagtinubo matuor sa duta.
GEN,1,19,Ag nakita it Dios nak kali ay maado.
GEN,1,20,Naglipas kag gab-i ag nag-abot kag aga.
GEN,1,21,Imaw kato kag pangtatlong adlaw.
GEN,1,22,"Ag nagsiling kag Dios, ""Magkainggwa it mga iwag sa kalangitan pramas mabuyag kag adlaw sa gab-i, agor parayan sa inra maaayaman kag pag-abot it usang adlaw, usang tuig, ag usang importanting panahon."
GEN,1,23,"Imaw ra kali kag mata-o it hadag sa kalibutan!"" ag natuman matuor."
GEN,1,24,Nagkainggwa it ruhang maragko nak mga iwag.
GEN,1,25,"Kag adlaw ay imaw it nagrurumaya sa aga hastang maghapon, ag kag buyan ay imaw ra it nagrurumaya sa gab-i."
GEN,1,26,Nagkainggwa ra it mga bituon.
GEN,1,27,"Gingbutang it Dios kag mga iwag sa langit agor mataw-an it hadag kag kalibutan, agor magrumaya sa adlaw ag sa gab-i ag agor mabuyag kag hadag sa ruyom."
GEN,1,28,Ag nakita it Dios nak kali ay maado.
GEN,1,29,Naglipas kag gab-i ag nag-abot kag aga.
GEN,1,30,Imaw kato kag pang-ap-at nak adlaw.
GEN,1,31,"Ag nagsiling kag Dios, ""Magkainggwa sa tubi it maramong mga di kabuhi nak nagrarangoy-rangoy nak nagpupunsok-punsok."
GEN,1,32,"Ag kag ibabaw ay magkainggwa it mga pispis nak nagyiyinupar!"""
GEN,1,33,"Ngani, gingtuga it Dios sa tubi kag mga balyena, mga isra, ag iba pang mga nagrarangoy-rangoy nak nagpupunsok-punsok, kumporme sa inra iba't-ibang klase."
GEN,1,34,"Ag sa ibabaw ay nagkainggwa it tanang mga pispis, kumporme sa inra iba't-ibang klase."
GEN,1,35,Ag nakita it Dios nak kali ay maado.
GEN,1,36,"Gingpakamaado sinra it Dios sa pagsiling, ""Magbuar ag magramo kamong tanan raha sa tubi ag pun-a kag ragat, ag magramo ra kamong mga pispis raha sa ibabaw!"""
