Book_Code,Chapter,Sentence,Text
PSA,2,1,Ango solian da no Dios no nasiones aya.
PSA,2,2,Ango paro o aro a planohen da a abo so kayayawan.
PSA,2,3,Nayprepara sa o patopatol no mondo aya as kano naychakasa sa o manyokoyokod sira a omarap so Dios kano tinongdo na a Patol.
PSA,2,4,"Vatahen da no tawotawo, ""Librien ta o karakohan ta do panyokoyokoran da as kararayaw ta so ipakapamarin da."""
PSA,2,5,Amna mayak o Dios do trono na do kapaypalawong na do plano da sa a di makapakatongtong.
PSA,2,6,"Do kwanasaw am ipapanmo na dira no Dios o kaket na nira a manda do kasinchad da do ipakapamarin na as kamo da do kavata na sia, ""Tayto dana o pinidi ko a maypatol do Sion a niaya so manamonamo a kavahayan ko."""
PSA,2,7,"No pinidi naya no Dios a Patol am niaya o nitbay na, ""Ipapanmo ko sa anti o abo aya so pandan a plano no Dios, takwan vinata diaken no Dios, 'Imo o Manganak ko as do sicharaw am nayvadiw ako a Ama mo."
PSA,2,8,"Akdawen mo diaken o atavo sa nasiones, ta itoroh ko sa anti dimo o atavo a kavahayan do mondo aya."
PSA,2,9,"Oyod anti a rakoh o ipakapamarin mo, ta akma anti so kayeyet no kapsapsa sia no barita o banga.'"""
PSA,2,10,"Dawa adngeyen nio ya, inio a patopatol kano manyokoyokod do mondo aya tapian makasolib kamo as kapakatanggal nio."
PSA,2,11,Payserbian nio o Dios as kapamahbo nio a sominchad do ipakapamarin na.
PSA,2,12,Sincharan nio o Manganak naya no Dios tapian dia somoli as kakastigo na dinio.
PSA,2,13,Patanggalen koynio ta an somoli am mararayaw kamo.
PSA,2,14,Amna mapalak sa o mangay sia a machipel.
PSA,5,1,Salmo ni David.
PSA,5,2,"Apo ko a Dios, adngeyen mo o dasal ko as kadngey mo so ipachisiasi ko dimo."
PSA,5,3,"Dios a Patol ko, adngeyen mo yaken, ta arava o kadwan a tawatawagan ko an dia voken a imo."
PSA,5,4,Kamavemavekhas am madngey mo o dasal ko.
PSA,5,5,Maydasal ako dimo do kapaysehsehdang as kananaya ko so atbay mo.
PSA,5,6,Mapanmo ko o kaskeh mo no aran ango a marahet as arava o piahen mo do salapan mo a gatos.
PSA,5,7,Sira o maato so iyangay am tadichokoran mo sa as isoli mo sa o atavo a mararahet so parinyen.
PSA,5,8,Rarayawen mo sa a makayamot do kapaydaday da.
PSA,5,9,No kapanlonloko da as kano kapandiman da am oyod mo a ichaskeh.
PSA,5,10,Amna makayamot do makakniknin a addaw kano kasisien mo am maparin ako a somdep do vahay mo.
PSA,5,11,Maparin ko paymo a dadayen do masanto aya a templo mo.
PSA,5,12,Mapamahbo ako a sominchad dimo a Dios ko.
PSA,5,13,"Apo ko a Dios, minadpon sa o komontra diaken as dawa do kasisien mo am ipatalamad mo diaken o ichahoho mo a panahanan kano parinyen ko."
PSA,5,14,"Sira o komontra aya diaken am maparin sava ichasaray, ta nawri o chitahen da o kapanrarayaw da."
PSA,5,15,Akma so kaywang no vovon a omrisibi so nadiman am nawri o kaparin no tehnan da a mayhanda a omrarayaw so kadwan as mapno no daday o rida da.
PSA,5,16,"Imo dana, O Dios, o komastigo dira."
PSA,5,17,Paytadiorongen mo dira a ichararayaw da o marahet sa a plano da.
PSA,5,18,Pakarohen mo sa do salapan mo takwan sobnahen daymo.
PSA,5,19,Amna sira o manganohed kano masaray nimo am mian o kasoyosoyotan da.
PSA,5,20,"Makakanta sa o maddaw nimo, ta defendien mo sa o masoyosoyot a omonot dimo."
PSA,5,21,Panalasalen mo o bendision mo dira do manganohed dimo as no addaw mo o akmay sirong a pachipelan da.
PSA,8,1,Salmo ni David.
PSA,8,2,Apo namen a Dios namen am mavoya do atavo a parte no mondo aya o pakaknikninan mo as makarapit do hanyit o kadaday dimo.
PSA,8,3,Yapo dira do kametdehan o mapía dana a idaday dimo.
PSA,8,4,Arava o mapaparin da no omlaban sa dimo as pabhesen mo sa o somobna dimo.
PSA,8,5,"An tomangay ako as katidib ko sa do inamaog mo saya, no vohan kano vitohen do pinangayan mo sira, ango paro o tawo a dawa mo a manakem kano isanga."
PSA,8,6,Amna kayan na ta pinarin mo o tawo a mahohbo kanira no angheles do maynyed a tiempo amna tayto mo na sa tinorohan so anohed kano onor do nakatayto mo mapanayahbo so atavo a inamaog mo do ipakapamarin no tawo.
PSA,8,7,"Sira o karnero kan baka kano madilaw sa vinyay, sira pa o manomanok kano among kano atavo sa inamaog do taaw am paynolayan na pa sa ya no tawo."
PSA,8,8,Apo namen a Dios namen am mavoya do atavo a parte no mondo aya o pakaknikninan mo!
PSA,10,1,"Apo a Dios, ango icharayi moaya as kakma moy kanonolayan diamen do panghovokan no pandidiwan namen."
PSA,10,2,Sira o makagatogatosen a tawo am mahambog sa as atetekan da sira o makasiasi as dawa paytadiorongen mo dira o mismo da ipangatetek.
PSA,10,3,Idaay da o mararahet sa a plano da.
PSA,10,4,Avayen da kano isoli da o Dios do rakoh a kapayagom da.
PSA,10,5,Arava do pangtoktoan da o makapamarin a Dios as kaoyod da mahambog a dia omsinchad do Dios.
PSA,10,6,Ividang no makagatogatosen aya o karakohan na a makahap so atavo a ichahoho na as arava o kaintindian na sia o panyokoyokoran no Dios.
PSA,10,7,Itek na sa o kontra na sa.
