Book_Code,Chapter,Sentence,Text
MAT,1,1,"Yadti a listawan nin lahi a pinangibatan ni Jesu-Cristo, paibat koni Abraham bi-sa paibat anaman koni Ari David."
MAT,1,2,"Hi Abraham ay tatay ni Isaac, hi Isaac ay tatay ni Jacob, hi Jacob ay tatay li Juda tan tawtalakaka na."
MAT,1,3,"Hawanin, nag-in anak ni Juda koni Tamar hi Fares tan hi Zara, bi-sa hi Fares ay tatay ni Esrom, hi Esrom ay tatay ni Aram, hi Aram ay tatay ni Aminadab, hi Aminadab ay tatay ni Naason, hi Naason ay tatay ni Salmon, anak ni Salmon koni Rahab hi Booz, anak ni Booz koni Ruth hi Obed, hi Obed ay tatay ni Jesse, hi Jesse ay tatay ni Ari David."
MAT,1,4,"Hawanin, yay nag-in anak ni Ari David konan datin kaambali ni Urias ay hi Ari Solomon."
MAT,1,5,"Hi Ari Solomon ay tatay ni Ari Roboam, hi Ari Roboam ay tatay ni Ari Abias, hi Ari Abias ay tatay ni Ari Asa, hi Ari Asa ay tatay ni Ari Josafat, hi Ari Josafat ay tatay ni Ari Joram, hi Ari Joram ay tatay ni Ari Ozias, hi Ari Ozias ay tatay ni Ari Jotam, hi Ari Jotam ay tatay ni Ari Acaz, hi Ari Acaz ay tatay ni Ari Ezequias, hi Ari Ezequias ay tatay ni Ari Manases, hi Ari Manases ay tatay ni Ari Amon, hi Ari Amon ay tatay ni Ari Josias."
MAT,1,6,Hi Ari Josias ay tatay ni Ari Jeconias tan tawtalakaka na.
MAT,1,7,"Konan yadtin panaon ni Ari Jeconias, binihag hilay aw-Israelita nin hilay tawtaga nasyon Babilonia."
MAT,1,8,"Pa-makayari orin pa-ngawit konla ha Babilonia, nagkamain yan anak hi Ari Jeconias."
MAT,1,9,Yay ngalan na ay Salatiel.
MAT,1,10,"Hi Salatiel ay tatay ni Zorobabel, hi Zorobabel ay tatay ni Abiud, hi Abiud ay tatay ni Eliaquim, hi Eliaquim ay tatay ni Azor, hi Azor ay tatay ni Sadoc, hi Sadoc ay tatay ni Aquim, hi Aquim ay tatay ni Eliud, hi Eliud ay tatay ni Eleazar, hi Eleazar ay tatay ni Matan, hi Matan ay tatay ni Jacob, bi-sa hi Jacob ay tatay ni Jose a kaambali ni Maria a nanay ni Jesus, yay anha-wayan Cristo."
MAT,1,11,"Kanya yay bilang nin honol-honol a hinirasyon a pinangibatan ni Jesus, paibat koni Abraham anggan koni Ari David ay labin-a-pat."
MAT,1,12,Paibat anaman koni Ari David anggan hin binihag hilay aw-Israelita para awiton ha Babilonia ay labin-a-pat anamaot.
MAT,1,13,Bi-sa paibat konan yadtin pa-ngawit konla ha Babilonia angga hin in-abing hi Cristo ay labin-a-pat anaman a hinirasyon.
MAT,1,14,Yay tongkol ha pa-miabing koni Jesu-Cristo ay anodti nangyari: Hi Maria a nanay na tan hi Jose ay nakatakda anan pakahal.
MAT,1,15,Kot ba-yo hila niambali ay na-tandaan a ampanginaw ya hi Maria.
MAT,1,16,Yadtin panginginaw na ay gawa nin kapangyarian nin Masanton Ispirito nan Dios.
MAT,1,17,Yadtin hi Jose a nobyo na ay mahonol ha kawkapanogoan nin Israelita.
MAT,1,18,Kot kay na magawa honolon yay kapanogoan a dapat ipatandaan [a hinoman a nobyan na-palombit nin laloma pigaw maipapati].
MAT,1,19,Kanya inisip nan ihiyay na ya tana nin pasikrito.
MAT,1,20,"Balo ta lo-gan na ot an-isip-isipon odti, main a-say anghil nan Katawan a nagpa-kit kona ha taynop."
MAT,1,21,"Wana, ""Jose, apopo ni Ari David, ando ka mag-alangan nin ipagkaambali hi Maria, bana ta ya-rin lombit na ay gawa nin kapangyarian nin Masanton Ispirito nan Dios."
MAT,1,22,"Mangabing yan a-say lalaki a pangalanan mon Jesus [yay labay totolon nin ya-rin a ngalan ay 'Ma-milipyas'] bana ta ilipyas nay tawtawo na ha main lan kawkasalanan,"" wanan anghil."
MAT,1,23,"Konan ya-rin halban nangyari ay na-paptogan yay impabalita nan Katawan ha a-say propita na hin yadtaw, a wanan nakasolat, ""Biliwon moyo ta main a-say dalaga a manginaw."
MAT,1,24,"Mangabing yan a-say lalaki a ha-wayan Emmanuel.""(Yay labay totolon nin ya-rin a ngalan ay ""Iti yay Dios kontamo"".) Pa-mimata ni Jose, hinonol nay impanogo nan anghil nan Katawan kona."
MAT,1,25,Kanya impagkaambali na yay na hi Maria.
MAT,1,26,Balo ta kay na ginwa konay a-say bagay lo-gan kay ot in-abing ni Maria yadtin o-nan anak na.
MAT,1,27,"Hin in-abing yay na, pinangalanan na yay naor ni Jose nin Jesus."
MAT,2,1,"Hi Jesus ay impangabing ha babalin Betlehem, probinsyan Judea hin panaon ni Ari Herodes."
MAT,2,2,"Hin ya-rin ay main lawlalakin mangaronong, laloy na tongkol ha bawbitoon."
MAT,2,3,Taga hila ha marayo a logar ha baytan.
MAT,2,4,Nako hila ha syodad Jerusalem ta namastang.
MAT,2,5,"Wanla, ""Ayti ya man orin a in-abing para mag-in ari moyon aw-Israelita?"
MAT,2,6,Nga-min na-kit mi itaw ha baytan a bitoon na a pamilbian in-abing yay na.
MAT,2,7,"Kanya nako kami iti para sambawon ya."""
MAT,2,8,"Hin na-tandaan ni Ari Herodes a main ot laloman mag-in ari, naaboridoy main nan kaisipan."
MAT,2,9,Anorin anamaot kapara konlan intiron taga Jerusalem.
MAT,2,10,"Kanya yay ginwa ni Ari Herodes ay tinipon na hilay pawpoon pari tan mawmaistron kapanogoan nin aw-Israelita, ta pinastang na konla no ayti ya dapat iabing yay Cristo a impangako nan Dios."
MAT,2,11,"Wanla kona, ""Ha babalin Betlehem, probinsyan Judea."
MAT,2,12,"Nga-min anodti a imbalita nan Dios a sinolat nin a-say propita na hin yadtaw: 'Hikamoy taga babalin Betlehem ha probinsyan Juda, ya-rin babali moyo ay ambo hoyot ha bawbabalin bantog ha Juda, Bana ta ison ya iabing yay mamoon komoyon aw-Israelita a tawtawo ko.'"""
MAT,2,13,"Bi-sa pasikrito nan impa-ka ni Ari Herodes hiladtaw lawlalakin mangaronong, ta pinastang na hilan labah no naka-no nilomwah odtaw bitoon."
MAT,2,14,"Pa-makayari ay pina-ka na hilay na ha Betlehem, ta wana konla, ""Mako kamoy na ta paka-tingkapon moyo ya-rin a anak."
MAT,2,15,"No ma-kit moyo ya ay ipatandaan moyo kongko pigaw maka-ka akoy namaot para sambawon ya."""
MAT,2,16,"Pa-makalngo la ha imbalita nan ari, nako hilay na."
MAT,2,17,"Tongwa, na-kit lay naman odtaw bitoon a na-kit la hin itaw hila ot ha baytan."
MAT,2,18,Ya-rin a bitoon a nango-na konla anggan hin tinomgon ha tobon kamainan nan anak.
MAT,2,19,"Hin na-kit lay naor orin bitoon, na-ligawan hilan labah."
MAT,2,20,"Bi-sa hin nilomoob hila ha bali, na-kit la yay anak ha dani ni Maria a nanay na."
MAT,2,21,Nanalimokor hilan palokob ta sinamba la ya.
MAT,2,22,"Bi-sa inabriyan lay aw-awit la, ta nami hilan rawrigalo koni Jesus nin balitok, insinso tan mira."
MAT,2,23,"Hawanin, impataynopan nan Dios konla a ando hilay na domalan itaw koni Ari Herodes, ta main ya paytin doka a plano."
MAT,2,24,Kanya norong hilay na ha sarili lan logar nin hakalakoy pinagpa-wanan.
MAT,2,25,"Hin nakaalih hilay nadtaw lawlalakin mangaronong, tongwa main anaman a-say anghil nan Katawan a nagpa-kit koni Jose ha taynop."
MAT,2,26,"Wana kona, ""Mibangon ka ta awiton mo hilay mitala-ina ha nasyon Egipto ta omari kamo yapon itaw."
MAT,2,27,Magpirmi kamo itaw anggan ha ibalita kon omalih kamoy na.
MAT,2,28,"Nga-min, ipatingkap ni Ari Herodes yay anak para ipapati."""
MAT,2,29,Kanya nibangon hi Jose hin ya-rin ot a yabi ta inawit na hilay naor a mitala-ina ha Egipto.
MAT,2,30,Bi-sa ni-wan hila itaw anggan nati hi Ari Herodes.
MAT,2,31,"Ha anorin a nangyari, na-paptogan yay impabalita nan Katawan konan a-say propita na hin yadtaw, a wanan nakasolat, ""Hina-wayan koy anak ko nin omalih ha Egipto."""
MAT,2,32,"Hawanin, hin na-patnagan ni Ari Herodes a naa-sawan la ya nin hiladtaw lawlalakin mangaronong ay inomamot masyadoy olo na."
MAT,2,33,Kanya impapati nay halban awa-nak a lalaki ha babalin Betlehem tan ha halban ka-danin logar a idad loway taon paaypa.
MAT,2,34,Yadti yay idad a imbasi na ha panaon hin nilomwah odtaw bitoon ayon ha na-pastang na konlan hiladtaw lawlalakin mangaronong.
MAT,2,35,"Ha anorin a nangyari, pinomtog yadtin impabalita nan Dios koni Propita Jeremias hin yadtaw, a wanan nakasolat, ""Ha logar a anha-wayan Rama ay angkalngoa kata-tangih, pa-migo-golaab tan grabin pa-miaanito, Ta antangihan ni Raquel hilay aw-awa-nak a lipi na."
MAT,2,36,"Kay ya ma-liwa-liwa ta halban la ay na-min pinati-pati."""
MAT,2,37,"Hawanin, hin nati na hi Ari Herodes, main anaman a-say anghil nan Katawan a nagpa-kit koni Jose ha taynop, hin itaw hila ot ha nasyon Egipto."
MAT,2,38,"Wanan anghil kona, ""Mibangon ka ta iorong mo hilay nay mitala-ina ha nasyon Israel, ta hiladtaw malabay mangmati konan anak ay nati na."""
MAT,2,39,Kanya nibangon ya ta in-orong na hilay naor a mitala-ina ha Israel.
MAT,2,40,"Kot nali-mo hi Jose nin mako mi-wan ha probinsyan Judea, hin na-tandaan nan hi Arquelao a anak ni Ari Herodes yay hinomagilin ampamoon itaw."
MAT,2,41,Impataynopan nan Dios koni Jose a dilikado no mi-wan hila itaw.
MAT,2,42,Kanya pinoma-lilih hila ta nako ha probinsyan Galilea.
MAT,2,43,Itaw hila ni-wan ha babalin Nazaret.
MAT,2,44,"Kanya pinomtog yadtin impapibalita nan Dios konlan pawpropita na hin yadtaw, a wanan nakasolat, ""Ha-wayan yan Nazareno."""
MAT,3,1,"Pa-makalabah nin omnoy taon, hi Juan Bautista ay nako itaw ha probinsyan Judea ha disyirto ta nangaral."
MAT,3,2,"Wana, ""Mi-pangombabali kamoy na tan bokotan moyoy kawkasalanan moyo, ta madani nay nan ipa-kit nin Dios a pa-mag-ari na."""
MAT,3,3,"Yadtin hi Juan a antokoyon ha impabalita nan Dios koni Propita Isaias hin yadtaw, a wanan nakasolat, ""Itaw ha disyirto ay main malngo a ampama-balawbaw a bosis, a wanan ialimbawa, 'Iparihado moyoy pa-hal pagpa-wanan nan Katawan, tan pa-hal itoynong moyoy dalanan na.'"""
MAT,3,4,"Yadtin hi Juan, yay ayhing na ay momorawon bongat a klasi a yari ha habot kamilyo."
MAT,3,5,Bi-sa yay an-ipagsintoron na ay bastan katat bongat.
MAT,3,6,Yay pa-mangan nay namaot ay doron tan polot panilan bongat.
MAT,3,7,"Lako a tawtawon nako nanglongo kona a naibat ha syodad Jerusalem tan ha halban babali a hakop namaot nin probinsyan Judea, tan ibat ha intiron ka-libol nin Kabatwan Jordan."
MAT,3,8,"Binaotismowan na hila ni Juan itaw ha Kabatwan Jordan, hin imbalita lay main lan kawkasalanan."
MAT,3,9,"Kot hin na-kit ni Juan a lako konlan rawrilihyoson aw-Israelita a kabilang ha gropo lan paw-Pariseo tan ha gropo lan saw-Saduseo a ni-pako kona para pabaotismo, wana konla, ""Bilang kamon olay a mataktika."
MAT,3,10,"Hino wani komoyo a maka-pa-lilih kamo ha matindin hobhob nan Katawan a main awit parosa, no basta kamon bongat pabaotismo?"
MAT,3,11,"No talagan ampangombabali kamo, ipa-kit moyo no-nin ha paralan nin kagogwa moyon kaabigan a binokotan moyoy nay main moyon kawkasalanan."
MAT,3,12,"Ando moyo isipon a kay na kamo parosawan nin Dios, bana ta lawlipi na kamo ni Abraham a tawo nan Dios."
MAT,3,13,"Ibalita ko komoyo, magawa nan Dios tawtawo odtin bawbato nin mag-in lawlipi ni Abraham [para mag-in ka-hagilyan moyo]."
MAT,3,14,"[Bana ta yay gawgawa moyo kot doka, ] kaalimbawaan moyo ay kayon an-awagan anan payakol para pokanon, ta balang poon kayon kay ampamongan labah a klasin bonga ay ampokanon ta poolan."""
MAT,3,15,"[Wana ot ni Juan konlan tawtawo itaw, ] ""Ambaotismowan katamo nin lanom, pamilbian nin pa-ngombabali tan kabo-bokot moyo ha main moyon kawkasalanan."
MAT,3,16,"Kot main lomato a hoyot kongko a mas makapangyayari kongko, ta maskin mangawit apin na ay ambo akon marapat."
MAT,3,17,"Hiyay mamaotismo komoyo, kot yay ipamaotismo na ay yay Masanton Ispirito nan Dios tan apoy."
MAT,3,18,"Kaalimbawaan na ay ma-ngalipar, tan hitamoy tawtawo ay pa-hal trigon nailik a aaliparan."
MAT,3,19,"Handa na tamoy nan aliparan ta bi-sa ilimpoh nay pa-hal malinis anan trigo ha kamalig, balo ta yay pa-hal apil ay poolan na ha apoy a homin pa-nga-lop."""
MAT,3,20,Hin ya-rin ay inomalih hi Jesus ha probinsyan Galilea ta nako ya koni Juan Bautista para pabaotismo kona itaw ha Kabatwan Jordan.
MAT,3,21,"Kay na komon labay ni Juan ta wana koni Jesus, ""Hikoy dapat pabaotismo komo, anongkot hika a pabaotismo kongko?"""
MAT,3,22,"Kot wanan in-obat ni Jesus, ""Pomayag kay na ta yadti a dapat ta nin gaw-on, pigaw ma-honol a halban kalabayan nan Dios."""
MAT,3,23,Kanya pinomayag hi Juan.
MAT,3,24,Hin na-baotismowan ana hi Jesus ay tampol yan ninapat.
MAT,3,25,"Tongwa, naabriyan a kalangitan bi-sa na-kit nay Ispirito nan Dios a inomaypa ta bi-sa dinompa kona nin bilang a-say kalapati."
MAT,3,26,"Tongwa, bigla nalngo a bosis nan Dios a naibat ha langit, wana, ""Yadti a anlabyon kon Anak, tan angkalilikot akon labah kona."""
MAT,4,1,Bi-sa hi Jesus ay intandoro nin Ispirito nan Dios nin mako ha disyirto para toksowon na ya ni Satanas.
MAT,4,2,Lolog nan itaw ni Jesus ay nagsakripisyo yan kay nangan ha loob nin a-pat a polo a awlo tan yabi.
MAT,4,3,Pa-makayari odti ay masyado yay nan mabitil.
MAT,4,4,"Tongwa, nakalato hi Satanas para toksowon na ya."
MAT,4,5,"""No talagan Anak na kan Dios,"" wana kona, ""gaw-on mon pa-mangan odtin bawbato."""
MAT,4,6,"Kay na ya hinonol ni Jesus, nokay wanan in-obat kona, ""Nakasolat ha Masanton Kasolatan, 'Ambo bongat ha pa-mangan mabyay a tawo, Nokay kailangan na syimpri a balang halita nan Dios.'"""
MAT,4,7,"Bi-sa inawit ni Satanas hi Jesus ha Masagradon Syodad Jerusalem, ta itaw na ya pina-dong ha pinakatoktok nin timplo nan Dios."
MAT,4,8,"Bi-sa wanay naman koni Jesus, ""No talagan Anak na kan Dios, magdadabo ka."
MAT,4,9,"Total, wana ha Masanton Kasolatan, 'Ipabantayan na kan Dios konlan aw-anghil na.' tan'Alalayan la ka, Pigaw ni ayi mo kot kay mitiro ha bato.'"""
MAT,4,10,"Wanan in-obat ni Jesus kona, ""Potog orin, balo ta wanay namaot ha Masanton Kasolatan, 'Ando mo hobokon a kapangyarian nan Dios a Katawan.'"""
MAT,4,11,"Bi-sa inawit na yay naman ni Satanas ha toktok nin a-say na-pakata-gay a bakil, ta impatamolaw na konay halban kawkaarian iti ha mondo tan yay kagandawan nin yadti."
MAT,4,12,"Bi-sa wana koni Jesus, ""Halban ya-rin ay ibi ko komo, no manalimokor ka tan somamba kongko."""
MAT,4,13,"Kot wani Jesus kona, ""Paka-dayo ka, Satanas, ta wana ha Masanton Kasolatan, 'Sambawon moy Dios a Katawan moTan hiyan bongat a pagsirbiwan mo.'"""
MAT,4,14,Kanya imbati na ya ni Satanas.
MAT,4,15,Bi-sa main aw-anghil a nako koni Jesus ta sinirbiwan la ya.
MAT,4,16,"Hin na-tandaan ni Jesus a impriso hi Juan Bautista, norong ya ha probinsyan Galilea."
MAT,4,17,Kay ya nagpirmi ha sarili nan babalin Nazaret ta nako ya ni-wan ha babalin Capernaum.
MAT,4,18,Yadtin babali ay iti ha liglig nin Alindayat Galilea tan madani namaot ha logar Zabulon tan Neftali.
MAT,4,19,"Ha pa-mi-wan ni Jesus itaw ay pinomtog yay impabalita nan Dios koni Propita Isaias hin yadtaw, a wanan nakasolat, ""Yay lawlogar a anha-wayan Zabulon tan NeftaliAy madani ha Alindayat Galilea, ha dobali nin Kabatwan Jordan."
MAT,4,20,"Hakop ot yadti nin probinsyan Galilea, kot main anan ampi-wan nin ambo Israelita."
MAT,4,21,Hilay tawtawo itaw ay pa-hal ampi-wan ha karobloman bana ha kawkasalanan la.
MAT,4,22,"Ampamagka hilay na komon ha kamatyan nin homin panganggawan a kaparosawan, Kot na-hawangan ot a main lan kaisipanTa nakalato ana yay ampamin hawang konla."""
MAT,4,23,Paibat hin ya-rin a panaon [a ni-wan hi Jesus ha Capernaum] ay nag-ompisa yan nangaral.
MAT,4,24,"Wanan an-ipangaral, ""Mi-pangombabali kamoy na tan bokotan moyoy kawkasalanan moyo ta madani nay nan ipa-kit Dios a pa-mag-ari na."""
MAT,4,25,"Ninghan, hin anlalako hi Jesus ha liglig Alindayat Galilea, main yan na-kit loway mitalakaka, hi Simon a hina-wayan Pedro hin bandan hoyot tan yay ali na a hi Andres."
MAT,4,26,Ampanglala hila hin ya-rin ta maninilay hila.
MAT,4,27,"Wani Jesus konla, ""Homonol kamo kongko ta gaw-on katamon pa-hal ma-nilay nin tawo [para tompol hila kongko]."""
MAT,4,28,Tampol lan in-inapat a lala la ta hinomonol hila kona.
MAT,4,29,"Ha pa-magpatoloy nan kala-lalako ni Jesus, na-kit nay lowa ot a mitalakaka a hila ni Santiago tan hi Juan, a awa-nak ni Zebedeo."
MAT,4,30,Itaw hilay mita-talaama ha baloto ta an-ayomawon lay aw-ikot la.
MAT,4,31,Hina-wayan anamaot ni Jesus odtin mitalakaka.
MAT,4,32,"Kanya antimano imbati lay baloto la, pati tatay la ta hinomonol hilay namaot kona."
MAT,4,33,"Hawanin, nako hi Jesus ha halban lawlogar nin probinsyan Galilea, ta nangaral ya ha sawsinagoga a ampagsambawan la."
MAT,4,34,"Impangaral na yay Labah a Balita tongkol ha pa-mag-ari nan Dios, tan pinaabig nay namaot a tawtawo ha halban klasin mawmasakit tan dawdipirinsya la."
MAT,4,35,"Bana ha ka-paka-ngap a gawgawa na, nibantog ya pati ha intiron Siria."
MAT,4,36,"Hawanin, inawit lan tawtawo koni Jesus hilay halban tawon main nangasasari a mawmasakit tan dawdoka a angkalayam, pati hilay nilooban nin dawdoka a ispirito, hilay ansompongon nin pa-ma-paghon tan hilay pawparalitiko."
MAT,4,37,Kanya halban la ay pinaabig na.
MAT,4,38,"Kanya maski man ayti ya mako hi Jesus, golpin tawoy ampaki-ki-ka kona."
MAT,4,39,"Hila-rin a tawtawo ay main ibat ha Galilea a probinsya na, main anamaot ibat ha Decapolis, ha Jerusalem, Judea tan ha baytan nin Kabatwan Jordan."
MAT,5,1,"A-say awlo, hin na-kit ni Jesus hilay malabong a tawo, nako yan hinomaka ha a-say bakil."
MAT,5,2,"Hin nakatoklo yay na, dinomani hilay dawdisipolos na."
MAT,5,3,"Bi-sa inompisawan na hilay nay naman tinoroan, wana: ""Makalma hilay ambomilbi a kailangan la yay Dios, ta kabilang hila konlan ampag-arian na."
MAT,5,4,"Makalma hilay anlomolo [bana ha kasalanan], ta liwa-liwawon na hilan Dios."
MAT,5,5,"Makalma hilay tawon mapagmaaypa, ta maipag-ikon la yay ba-yon mondo ha lomato a panaon."
MAT,5,6,"Makalma hilay malabay a ma-honol yay kanakoman nan Dios, ta ma-kit lan mangyari ya-rin."
MAT,5,7,"Makalma hilay mainganga-rowon, ta inga-rowan na hilan Dios."
MAT,5,8,"Makalma hilay malinis a kanakoman, ta ma-kit la yay Dios anggan-angga."
MAT,5,9,"Makalma hilay anggomwa paralan nin pa-misosondo, ta ha-wayan hilan awa-nak nan Dios."
MAT,5,10,"Makalma hilay anda-damsakon bana ta mahonol hila konan Dios, ta kabilang hila konlan ampag-arian na."
MAT,5,11,"""Makalma kamo no bana ha kaho-honol moyo kongko ay antoya-toyaon o anda-damsakon o ambara-baraan la kamo nin nangasasari a kawkarokaan nin homin kaptogan."
MAT,5,12,"No ampangyari odti komoyo, lomilikot kamo tan magpakaliga, bana ta mahi-ban a itobalo nan Dios komoyo itaw ha langit, ta hila man a pawpropita na hin yadtaw ay dina-damsak anamaot."""
MAT,5,13,"[Wana ot ni Jesus konlan dawdisipolos na, ] ""Kaalimbawaan moyo ay asin a ampakapamin kaabigan ha intiron mondo."
MAT,5,14,"Kot no alimbawa ta na-hominan anan alat a asin, maiorong ot wari a alat na?"
MAT,5,15,"Homin yay nan sirbi, kanya ibantak tana ta bi-sa ma-dakat-dakat nin tawtawo."
MAT,5,16,"""Hikamoy hawang ha intiron mondo."
MAT,5,17,Kanya dapat mapatnag kamo ha tawtawo a bilang ha a-say syodad a iti ha ta-gay bakil a kay maiari.
MAT,5,18,"Bilang anamaot ha a-say lamparilya, kay ampartawan odti nin tawo ta bi-sa wari hakban nin halop."
MAT,5,19,Nokay an-igwa syimpri ha dapat pamigwaan pigaw ma-hawangan a halban ha bali.
MAT,5,20,"Anorin anamaot kapara komoyo, dapat yay biyay moyo ay pa-hal na-pakahawang, pigaw ma-kit lay gawgawa moyon kaabigan ta bi-sa poriwon lay Ama moyo ha langit."""
MAT,5,21,"[Wana ot ni Jesus, ] ""Ando moyo isipon a nako ko iti para alihan nin alag'a yay kawkapanogoan a inimbi nan Dios koni Moises tan yay sawsinolat lan propita nan Dios hin yadtaw."
MAT,5,22,"Nokay nako ko iti pigaw mangyari ya-rin, ambo para alihan nin alag'a."
MAT,5,23,"Yay potog, ibalita ko komoyo, manganggawan a langit tan lota, balo ta homin maba-wah konan ya-rin a kawkapanogoan maskin a-say litra o toldok bonga ta kailangan mangyari ya-rin halban."
MAT,5,24,"Kanya hinoman a kay ampamaalag'a maski ha a-sa ha pinakamalo-paw a kawkapanogoan nan Dios tan mamitoro ot ha laloma para kialig kona, ya-rin a tawon ay ibilang yan homin kwinta ha ampag-arian nan Dios."
MAT,5,25,"Balo ta hinoman a anhomonol ha kawkapanogoan bi-sa an-itoro na ot ha laloma, ya-rin a tawo ay ibilang yan marangal ha ampag-arian nan Dios."
MAT,5,26,"Kanya ibalita ko komoyo, no kay moyo madaog hilay mawmaistron kapanogoan tan hilay paw-Pariseo ha kaho-honol ha kalabayan nan Dios, sigoradon kay kamo maka-paki-lamo ha ampag-arian nan Dios."""
MAT,5,27,"[Wana ot ni Jesus, ] ""Tanda moyodtin impanogo konlan tawtawo hin yadtaw: 'Ando ka mangmatin tawo ta hinoman a mangmatin tawo ay hosgawan ha korti.'"
MAT,5,28,"Kot hiko, oyay ibalita ko komoyo: Hinoman a main bongat amot olo ha kapara ay hosgawan ha korti."
MAT,5,29,Tan hinoman a manoboy ha kapara ay hosgawan ha pinakamata-gay a korti.
MAT,5,30,Bi-sa yay manginsolto ha kapara ay parosawan ha impyirno.
MAT,5,31,"Kanya, no alimbawa ta iti ka ha timplo ta main kan ida-ton ha Dios ta bi-sa ma-panomtoman mon main tawon mahkit a nakom na komo, ibati mo yapon ya-rin a da-ton mo ha altar ta maki-sondo ka kona."
MAT,5,32,Pa-makayari ay magbalik ka ta itoloy moy nay pa-mida-ton mo ha Dios.
MAT,5,33,"""No main anamaot magdimanda komo ta awiton na ka ha korti, makiariglo kan tampol kona mintras kay kamo ot inomabot."
