Book_Code,Chapter,Sentence,Text
MAT,1,1,"Manjari, amu ini in usulan sin pangkat hi Īsa Almasi, hambuuk panubu' hi Daud, amu in hambuuk panubu' hi Ibrahim."
MAT,1,2,Biya' ha ini in pangkat hi Īsa Almasi tagnaan dayn kan Ibrahim sampay naabut mawn kan Sultan Daud.
MAT,1,3,"Hi Ibrahim, in anak niya hi Isahak; in hi Isahak, in anak niya hi Ya'kub; in hi Ya'kub, in anak niya hi Yudah iban sin manga taymanghud niya."
MAT,1,4,Sakali in anak sin Yudah hi Piris kay Sira (in ina' nila hi Tamar).
MAT,1,5,"In hi Piris, in anak niya hi Hisdun; in hi Hisdun, in anak niya hi Aram; in hi Aram, in anak niya hi Amminadab; in hi Amminadab, in anak niya hi Nassun; in hi Nassun, in anak niya hi Salmun; in hi Salmun, in anak niya hi Buwas (in ina' hi Buwas hi Rahab); in hi Buwas, in anak niya hi Ubid (in ina' hi Ubid hi Rut); in hi Ubid, in anak niya hi Jissi; in hi Jissi, in anak niya hi Sultan Daud."
MAT,1,6,"Na, biya' ha ini isab in usulan sin pangkat hi Īsa tagnaan dayn kan Sultan Daud sampay pa waktu narāin manga tau Israil pa hula' Babilun ha bukun nila kabayaan."
MAT,1,7,"In hi Daud, in anak niya hi Sulayman (in ina' hi Sulayman amuna in bakas asawa hi Uriyas); in hi Sulayman, in anak niya hi Rubuwam; in hi Rubuwam, in anak niya hi Abiyas; in hi Abiyas, in anak niya hi Asa; in hi Asa, in anak niya hi Jusapat; in hi Jusapat, in anak niya hi Jihuram; in hi Jihuram, in anak niya hi Usiyas; in hi Usiyas, in anak niya hi Jutam; in hi Jutam, in anak niya hi Ahas; in hi Ahas, in anak niya hi Hijikiyas; in hi Hijikiyas, in anak niya hi Manassi; in hi Manassi, in anak niya hi Amun; in hi Amun, in anak niya hi Jusiyas; in hi Jusiyas, in anak niya hi Jihuyakin iban sin manga taymanghud niya."
MAT,1,8,"Hāti dayn na waktu narāin manga tau Israil pa hula' Babilun sampay pa waktu piyag'anak hi Īsa, biya' ha ini isab in usulan sin pangkat niya."
MAT,1,9,"In hi Jihuyakin, in anak niya hi Salati; in hi Salati, in anak niya hi Sirubbabil; in hi Sirubbabil, in anak niya hi Abiyud; in hi Abiyud, in anak niya hi Iliyakim; in hi Iliyakim, in anak niya hi Asur; in hi Asur, in anak niya hi Saduk; in hi Saduk, in anak niya hi Akim; in hi Akim, in anak niya hi Iliud; in hi Iliud, in anak niya hi Iliyasar; in hi Iliyasar, in anak niya hi Mattan; in hi Mattan, in anak niya hi Ya'kub; in hi Ya'kub, in anak niya hi Yusup."
MAT,1,10,"Hi Yusup amuna in nakaasawa kan Mariyam ina' hi Īsa, amu in pag'iyanun Almasi."
MAT,1,11,"Na, manjari awn hangpu' tag'upat pangkat in nanubu' tagnaan dayn kan Ibrahim sampay naabut mawn kan Daud."
MAT,1,12,Hāti tagnaan dayn kan Daud sampay pa waktu narāin manga tau Israil pa hula' Babilun awn isab hangpu' tag'upat pangkat in nanubu'.
MAT,1,13,Hāti awn isab hangpu' tag'upat pangkat in nanubu' dayn ha waktu narāin manga tau Israil pa hula' Babilun sampay naabut piyag'anak in Almasi.
MAT,1,14,Biya' ha ini in kahālan sin pag'anak kan Īsa Almasi.
MAT,1,15,"In hi Mariyam, ina' niya, sa'bu nagtutunang iban hi Yusup, sagawa' ha wala' pa sila nakapagtiyaun kiyananaman niya sin burus siya dayn ha kusug sin kudarat sin Rūsin Tuhan."
MAT,1,16,In hi Yusup ini hambuuk tau miyamagad sadja ha daakan sin Tuhan.
MAT,1,17,"Pagga niya kiyaingatan sin burus hi Mariyam napikil niya baybarun na in pagtunang nila, sagawa' di' niya hibukag in sabab sin pagbaybad nila, ha supaya di' sumipug hi Mariyam."
MAT,1,18,"Sakali ha sa'bu hi Yusup namimikil sin pasal ini, nakalipat siya sarta' nanagainup siya."
MAT,1,19,Ha lawm tagainup niya nagpanyata' mawn kaniya in hambuuk malāikat naraak sin Tuhan.
MAT,1,20,"Namung in malāikat, amu agi, ""Yusup, hambuuk panubu' hi Daud, ayaw kaw mahanggaw umasawa kan Mariyam."
MAT,1,21,Karna' in siya yan naburus dayn ha kusug sin kudarat sin Rūsin Tuhan.
MAT,1,22,"Umanak siya hambuuk bata'-bata' usug iban ngānan mu in bata'-bata' yan hi Īsa, sabab siya na yan in manglappas ha tau niya dayn ha manga dusa nila."""
MAT,1,23,"(Amu yadtu in pamung kaniya sin malāikat.) Na, nabunnal in kiyabayta' sin Tuhan amu in kiyasulat nakauna hi Nabi Isayas ha lawm Kitab, amu agi, ""Ha susūngun awn hambuuk budjang magburus iban mag'anak siya hambuuk bata'-bata' usug."
MAT,1,24,"In bata'-bata' usug ini amuna in pagtawagun Immanwil."""
MAT,1,25,"(In hāti sin Immanwil, ""Yari in Tuhan limamud kātu'niyu."") Na, pagbati' hi Yusup iyagad niya in bayta' sin malāikat kaniya."
MAT,1,26,Tiyaunan niya na hi Mariyam.
MAT,1,27,Sumagawa' wala' siya naghulid kay Mariyam ha salugay wala' pa siya nag'anak.
MAT,1,28,"Pag'anak hi Mariyam, ngiyānan hi Yusup in bata'-bata' usug hi Īsa."
MAT,2,1,"Manjari in hi Īsa piyag'anak duun ha kawman sin Baytlaham, ha hula' Yahudiya, ha waktu sin pagsultan hi Sultan Hirud."
MAT,2,2,Bukun mawgay awn dimatung manga tau dayn ha subangan mawn pa Awrusalam (Baytal Makdis).
MAT,2,3,"In manga tau ini ilmuan, amu in nangangadji' pasal sin manga bituun ha langit."
MAT,2,4,"Pagdatung nila pa Awrusalam (Baytal Makdis), magtūy sila nangasubu, laung nila, ""Ha unu in sultan sin manga bangsa Yahudi amu in ba'gu piyag'anak?"
MAT,2,5,Kīta' namu' gimuwa' dayn ha subangan in bituun amu in tanda' sin piyag'anak na siya.
MAT,2,6,"Hangkan miyari kami mamudji kaniya."""
MAT,2,7,Pagdungug hi Sultan Hirud sin pasal ini miyuga' tuud siya sambil da isab sin katān tau ha Awrusalam (Baytal Makdis).
MAT,2,8,Piyatawag hi Sultan Hirud in katān manga nakura' kaimaman iban sin manga guru sara' agama.
MAT,2,9,"Pag'ubus ampa niya sila iyasubu, laung niya, ""Ha unu hipag'anak in Almasi?"""
MAT,2,10,"In sambung nila, ""Didtu ha Baytlaham, ha hula' Yahudiya, karna' in yan kiyabayta' hi Nabi (Mikas) ha lawm Kitab, amu agi, 'Kamu manga tau ha kawman Baytlaham ha hula' Yahudiya, minsan in kawman niyu asibi', in kamu, tau mataas, sabab awn gumuwa' dayn kaniyu hambuuk nakura'amu in mag'iipat ha manga tau ku, amu in bangsa Israil biya' sapantun tau mag'iipat bili-bili.'""(Amu yan in kiyasulat sin nabi ha lawm Kitab.) Pagdungug hi Hirud sin bihādtu, magtūy niya piyakawa' in manga bisita dayn ha subangan dāhun niya magbichara ha wayruun makaingat tau dugaing."
MAT,2,11,"Pagdatung nila mawn, iyasubu sila hi Hirud bang ka'nu nila tuud tagna' kīta' in bituun."
MAT,2,12,"Sakali kiyabaytaan mayan siya sin manga bisita, piyakadtu niya sila pa Baytlaham iban laung niya kanila, ""Kadtu kamu iban lawaga niyu marayaw in bata'-bata'."
MAT,2,13,"Iban bang niyu siya kabaakan na, balik kamu magtūy, baytai niyu aku bat isab aku makakadtu mamudji kaniya."""
MAT,2,14,"Pag'ubus sin sultan nagbichara, miyanaw na in manga tau dayn ha subangan."
MAT,2,15,"Ha sa'bu pa sila miyamanaw, kīta' nila isab nagbalik in bituun amu in bakas kīta' nila didtu ha hula' nila ha subangan."
MAT,2,16,"Pagkita' nila, landu' tuud sila kiyūgan."
MAT,2,17,Miyanaw in bituun ha unahan nila ampa himundung ha lugal kiyabubutangan sin bata'-bata'.
MAT,2,18,Simūd sila pa lawm bāy.
MAT,2,19,"Pagsūd nila, kīta' nila in bata'-bata' iban sin ina' niya hi Mariyam."
MAT,2,20,Simujud sila ampa nila piyudji in bata'-bata'.
MAT,2,21,"Iyukab nila na in manga darāhan nila iban piyanghulmat nila na mawn pa bata'-bata' in bulawan, kamanyan, iban ubat mahalga' pagtawagun ""mira""."
MAT,2,22,"Na, ha sūng nila muwi' pa hula' nila, limabay sila dayn ha dugaing dān sabab asal sila biyandaan sin Tuhan ha lawm tagainup nila, di' sila pabalikun madtu kan Hirud."
MAT,2,23,"Pag'īg nila, awn hambuuk malāikat diyaak sin Tuhan nagpakita' mawn kan Yusup ha lawm tagainup niya."
MAT,2,24,"Namung in malāikat kaniya, amu agi, ""Bangun kaw ampa mu dāha in bata'-bata' iban sin ina' niya maguy pa hula' Misir, iban ayaw kamu mīg dayn didtu ha salugay di' ta kamu baytaan paīgun."
MAT,2,25,"Karna' in bata'-bata' yan hipalawag hi Hirud hipapatay."""
MAT,2,26,Magtūy hi Yusup nagbangun.
MAT,2,27,Sin dūm da yadtu diyāniya magtūy in bata'-bata' iban sin ina' pa hula' Misir.
MAT,2,28,Duun na sila himula' ha Misir sampay miyatay hi Hirud.
MAT,2,29,"Na, dayn duun nabunnal in bayta' sin Tuhan kiyabayta' hi Nabi (Husiyas), amu agi, ""Piyauwi' ku in Anak ku dayn ha hula' Misir."""
MAT,2,30,"Manjari ha waktu buhi' pa hi Sultan Hirud, pag'ingat niya sin iyakkalan siya sin manga tau ilmuan nanibaw dayn ha subangan, diyugalan tuud siya."
MAT,2,31,"Magtūy siya nagdaak hipapatay in katān bata'-bata' usug ha kawman Baytlaham sampay pa manga dugaing kawman ha pangdaig niya, dayn ha umul duwa tahun sampay pa manga ba'gu piyag'anak sabab giyanta' niya na dayn ha pagbayta' sin manga tau dayn ha subangan, bang ka'nu nila tagna' kīta' in bituun."
MAT,2,32,"Na, nabunnal tuud in bakas bichara hi Nabi Irmiyas, laung niya, ""Karungugan in tingug ha dāira Rama, tingug sin pagtangis iban pagsilawak."
MAT,2,33,Duun in manga panubu' hi Rakiya nagmamatay ha manga anak nila.
MAT,2,34,"Di' sila mabaya' ūūhunsabab miyatay in manga anak nila."""
MAT,2,35,"Manjari miyatay mayan hi Hirud, nagpakita' na isab nagbalik in malāikat diyaak sin Tuhan mawn kan Yusup ha lawm tagainup, duun ha hula' Misir."
MAT,2,36,"Amu agi sin malāikat, ""Bangun kaw ampa mu dāha in bata'-bata' iban ina' niya magbalik pa hula' Israil, sabab in manga tau amu in mabaya' mamatay ha bata'-bata' miyatay na."""
MAT,2,37,"(Na, amu yadtu in pamung sin malāikat kan Yusup.) Pagbangun hi Yusup, magtūy niya diyāin bata'-bata' iban sin ina' nagbalik pa hula' Israil."
MAT,2,38,"Sagawa', pagdungug hi Yusup sin hi Arkilas in nakaganti' nagsultan ha ama' niya hi Hirud ha hula' Yahudiya, miyuga' hi Yusup magbalik madtu."
MAT,2,39,"Hangkan himarap sila madtu pa hula' Jalil, karna' biya' da isab ha yan in bayta' kaniya ha lawm tagainup niya."
MAT,2,40,"Pagdatung nila pa hula' Jalil, duun sila himula' ha kawman Nasarit."
MAT,2,41,"Na, nabunnal tuud isab in bayta' sin manga kanabihan pasal hi Īsa Almasi, laung nila, ""In siya tawagun hambuuk tau Nasarit."""
MAT,3,1,"Manjari ha waktu yadtu hi Yahiya amu in Mangliligu' miyawn nagnasīhat pa hula' Yahudiya, duun ha hula' paslangan mahunit paghulaan."
MAT,3,2,"Laung niya ha manga tau, ""Pagtawbati niyu na in manga dusa niyu sabab masuuk na dumatung mari in pamarinta sin Tuhan."""
MAT,3,3,"Bang paamuhun, hi Yahiya ini amuna in tau piyag'iyan hi Nabi Isayas, laung niya, ""Awn hambuuk tau ha lawm hula' paslangan mahunit paghulaan."
MAT,3,4,"Manawag-tawag siya ha manga tau, amu agi niya, 'Parayawa niyu iban pabuntula niyu in dān sabab masuuk na lumabay in Panghu'.'"""
MAT,3,5,"In tamungun hi Yahiya ini hīnang dayn ha bulbul unta' iban nagsasabitan siya pais sapi', iban in pagkaunun niya hambuuk ginis sin ampan dulu iban gula' pussukan."
MAT,3,6,"Na, miyawn in manga tau dayn ha Awrusalam (Baytal Makdis) iban dayn ha katilingkal sin hula' Yahudiya iban na dayn ha katān hula' ha katilibut sin Suba' Jurdan dimungug kan Yahiya."
MAT,3,7,"Miyawn sila kaniya nagsabunnal sin manga dusa nila, iban nagpaligu' na sila kan Yahiya duun ha Suba' Jurdan."
MAT,3,8,"Sagawa' pagkita' hi Yahiya mataud manga tau agad ha parhimpunan sin Parisi iban agad ha parhimpunan sin Sadduki in miyawn kaniya nagpaligu', laung niya kanila, ""In kamu yan panipu!"
MAT,3,9,"Magpabaw'-baw' sadja kamu mabuntul, sagawa' bingkuk in lawm atay niyu."
MAT,3,10,"Na, in pangannal niyu makapuas kamu dayn ha murka' sin Tuhan amu in masuuk na dumatung bang kamu magpaligu'?"
