Book_Code,Chapter,Sentence,Text
GEN,37,1,"Manjari, si Yakub patenna' la'i si lahat bakas paglahatan samanen si Ishak."
GEN,37,2,Lahat miya'an inēnan Kana'an.
GEN,37,3,Manjari aka-aka inin sabab si Yakub duk pamilyanen.
GEN,37,4,"Anak si Yakub inēnan si Yusup, subul ne, me' sempukpitun tahun ne umulnen."
GEN,37,5,"Magipat iye me' bili-bili samanen magsumbaya' duk me' sakanen, me' anak si Bilha duk si Silpa, me' anda samaden."
GEN,37,6,Manjari sinumbung-sumbung we' si Yusup me' sakanen si samaden.
GEN,37,7,"Na, kinalasahan si Yusup we' si Yakub amban me' anakne sinduwehin pegge' pag inanakan si Yusup bahi' ne si Yakub."
GEN,37,8,Ubus bu hinanganne si Yusup badju' hāp manamal.
GEN,37,9,"Saguwa' me' sakanen, pegge' kata'uhande we' kinalasahan iye we' si Yakub pesōng amban siye, bunsi siye pu si Yusup bu ga'i siye missāhāp pu si Yusup."
GEN,37,10,"Dambuwa' sangem neginep si Yusup, bu pag akahanne pungtina'inen mas pesōng siye bunsi si iye."
GEN,37,11,"Pa'inne si siye, ""Pakale ka'am, niya' teginepku."
GEN,37,12,La'i ko' kite bi miya'an magpagani buwa' tirigu.
GEN,37,13,Ubus bu maghinang umpung kite bi.
GEN,37,14,Manjari bessuwang umpungkun donga' duk nengge.
GEN,37,15,"Na, umpungbin magtipun ko' duk paliput duk pasujud si umpungkun."""
GEN,37,16,"Pa'in me' pungtina'inen si iye, ""Pa'innu ke we' ka'u manjari sultan kamihin?"
GEN,37,17,"Magbaya' ke kew iyan si kami?"""
GEN,37,18,Hangkan bunsi siye manamal si iye sabab tineginepne miya'an duk sabab bakas binissānen.
GEN,37,19,"Ubus bu neginep iye balik duk akahanne me' pungtina'inen, pa'inne, ""Niya' ne isab teginepku seddili,"" pa'inne."
GEN,37,20,"""Ellewin ko' duk bulanin duk sempukdembuwa' pote'anin pasujud si aku."""
GEN,37,21,"Inakahan isab we' ne samanen saguwa' inamāhan iye we' ne, pa'inne, ""Ine te' bakas tineginepnu miya'an?"
GEN,37,22,"Subey kami duk si'itnun duk me' pungtina'inun bahasa pasujud si ka'u?"""
GEN,37,23,Kinimbūhan iye we' me' pungtina'inen bu samanen inesseb-esseb we' ne sabab bakas tineginep si Yusup miya'an.
GEN,37,24,Dembuwa' ellew la'i me' saka si Yusupin magipat me' bili-bili samaden tapit si lahat Sekem.
