Book_Code,Chapter,Verse,Text
GEN,37,1,"Manjari, si Yakub patenna' la'i si lahat bakas paglahatan samanen si Ishak. Lahat miya'an inēnan Kana'an. "
GEN,37,2,"Manjari aka-aka inin sabab si Yakub duk pamilyanen. Anak si Yakub inēnan si Yusup, subul ne, me' sempukpitun tahun ne umulnen. Magipat iye me' bili-bili samanen magsumbaya' duk me' sakanen, me' anak si Bilha duk si Silpa, me' anda samaden. Manjari sinumbung-sumbung we' si Yusup me' sakanen si samaden."
GEN,37,3,"Na, kinalasahan si Yusup we' si Yakub amban me' anakne sinduwehin pegge' pag inanakan si Yusup bahi' ne si Yakub. Ubus bu hinanganne si Yusup badju' hāp manamal. "
GEN,37,4,"Saguwa' me' sakanen, pegge' kata'uhande we' kinalasahan iye we' si Yakub pesōng amban siye, bunsi siye pu si Yusup bu ga'i siye missāhāp pu si Yusup."
GEN,37,5,"Dambuwa' sangem neginep si Yusup, bu pag akahanne pungtina'inen mas pesōng siye bunsi si iye. "
GEN,37,6,"Pa'inne si siye, ""Pakale ka'am, niya' teginepku. "
GEN,37,7,"La'i ko' kite bi miya'an magpagani buwa' tirigu. Ubus bu maghinang umpung kite bi. Manjari bessuwang umpungkun donga' duk nengge. Na, umpungbin magtipun ko' duk paliput duk pasujud si umpungkun."" "
GEN,37,8,"Pa'in me' pungtina'inen si iye, ""Pa'innu ke we' ka'u manjari sultan kamihin? Magbaya' ke kew iyan si kami?"" Hangkan bunsi siye manamal si iye sabab tineginepne miya'an duk sabab bakas binissānen."
GEN,37,9,"Ubus bu neginep iye balik duk akahanne me' pungtina'inen, pa'inne, ""Niya' ne isab teginepku seddili,"" pa'inne. ""Ellewin ko' duk bulanin duk sempukdembuwa' pote'anin pasujud si aku."" "
GEN,37,10,"Inakahan isab we' ne samanen saguwa' inamāhan iye we' ne, pa'inne, ""Ine te' bakas tineginepnu miya'an? Subey kami duk si'itnun duk me' pungtina'inun bahasa pasujud si ka'u?"" "
GEN,37,11,Kinimbūhan iye we' me' pungtina'inen bu samanen inesseb-esseb we' ne sabab bakas tineginep si Yusup miya'an.
GEN,37,12,Dembuwa' ellew la'i me' saka si Yusupin magipat me' bili-bili samaden tapit si lahat Sekem. 
GEN,37,13,"Pa'in si Yakub pu si Yusup, ""La'i ne me' sakanun ī' tapit si Sekem magipat me' bili-bili. Pīkew si siye."" Nambung si Yusup, pa'inne, ""Memes ne ku."" "
GEN,37,14,"Pa'in samanen, ""Pīne kew payamanun bang sā'ingge me' sakanu ley duk me' bili-bilihin. Ubus akahanun ku bang sā'ingge ne siye."" Manjari tahala' si Yusup amban lahat Hebron pīsi Sekem."
GEN,37,15,"Tekka ne si Yusup la'i si Sekem, maglengngan-lengngan iye miha pungtina'inen. Tadugpak iye we' dembuwa' lella bu pa'inne, ""Ine pinihanun?"" "
GEN,37,16,"""Ga'. Miha ku hadja me' pungtina'iku,"" pa'inne. ""Kata'uhannu ke bang intag pagipatande me' bili-bilihin?"" "
GEN,37,17,"Nambung a'ahin, pa'inne, ""La'i ne siye tahala'. Bakas takaleku bissāde, pa'inde we' pīsiye tudju puweblo Dotan."" Ubus paturul si Yusup si me' pungtina'inen hap Dotan duk tekesuwa'ne siye la'i."
GEN,37,18,"Tala pe iye, takite ne iye we' me' sakanen. Magisun ne siye we' subey iye papateyde. "
GEN,37,19,"Pa'inde, ""Tiya' pitu a'a luwal maneginepin! "
GEN,37,20,"Papateyte bi iye ubus bu labo'te iye dem kupung ga' niya' bohe'ne. Ubus miya'an pa'inte bi we' niya' hayep talun bakas mangan iye. Payamante sa' bang ine ka'ujuran teginepnen!"" Iye miya'an pagisunden. "
GEN,37,21,"Pag kale sakaden si Ruben pagisunde miya'an binēbbegan we' ne si Yusup pegge' mabaya' timbulne si Yusup amban antanande. Pa'inne, ""Da'a iye papateyte bi."" "
GEN,37,22,"Tambahanne pe, ""Da'a iye papateyun bi, labo'un bi hadja iye dem kupung tu'u si lahat ga' niya' a'ane inin. Da'a iye bakatanun bi."" Pu'unne missāsāmiya'an pegge' tapikilne timbulne si Yusup duk tūrananne pīsi samaden."
GEN,37,23,Hangkan pag tekka si Yusup si me' pungtina'inen ilarit we' de badju'ne mahāp manamalin. 
GEN,37,24,Ubus bu siniggew iye we' de duk ilabo' dem kupung ga' niya' bohe'ne. 
GEN,37,25,Ubus ningkolo' duk mangan ne me' pungtina'ine sinduwehin. Sābude mamanganin niya' takitede grupu me' a'a pililitu bangsa Isma'el duk me' unta'den. Duwa'anden me' bayu'-bayu'an bengngi kuwe' kamanyan duk tambal. Tekka billa'i siye amban lahat Gil'ad pīhap lahat Misir.
GEN,37,26,"Manjari pa'in si Yahud si me' pungtina'inen, ""Ine te' kahāpan ta'eddo'ten bi bang papateyte bi saliten bi ubus bu tapukante bi bangkeynen? "
GEN,37,27,"Gām pe iye pabellihante bi si me' a'a bangsa Isma'el miya'an. Da'a iye papateyte bi pegge' pungtina'ite bi hep iye."" Ngasip me' pungtina'inen si iye. "
GEN,37,28,Pag labey me' a'a Isma'elin inonot we' de si Yusup amban dem kupung bu pinabellihan we' de duwempū' kayu' pilak te'ed. Ubus bu bino'o we' me' a'a Isma'elin si Yusup pīsi lahat Misir.
GEN,37,29,"Pag balik si Ruben pīsi kupung ga' ne la'i si Yusup. Manjari hawal susenen ginaret we' ne badju'nen, "
GEN,37,30,"duk pīiye balik si me' pungtina'inen. Pa'inne si siye, ""Ga' ne la'i si Yusup,"" pa'inne. ""Inumeyku ne si iyehin?"" "
GEN,37,31,"Manjari, inin hininangden, ineddo' we' de badju' Yusupin duk numbali' siye kambing. Pag ubus sumbali'de papuwa' siye ngalege badju'nen dem laha' kambingin. "
GEN,37,32,"Ubus pabo'ohande badju' si Yusup mahāp manamalin pīsi samaden duk masan siye, pa'inde, ""Inin takesuwa' kami. Payamanun bang badju' anaknun ke inin."" "
GEN,37,33,"Takilale we' si Yakub badju'in duk pa'inne, ""Badju' anakkun du inin. Allō, kinakan we' hayep talun si Yusup!"" "
GEN,37,34,"Ubus ginaret we' si Yakub badju'nen bu ne magsemmek karut iye pegge' iye miya'an addat me' a'ahin bang siye dukka manamalan, duk magdukka iye tiggel manamal. "
GEN,37,35,"Kēmon me' anaknen lella-dende pahemokande iye, saguwa' ga'i iye ngatu pinahemokan. Pa'inne, ""Dukka ku si anakkun sampay matey ku."" Manjari, masi pe si Yakub magdukka sabab anaknen."
GEN,37,36,"Sābu miya'an la'i si Misir pinabellihan we' me' a'a bangsa Isma'elin si Yusup pu si Potipar, a'a Misir. Potipar miya'an dembuwa' a'a langkew si me' kapangandelan we' sultan Misirin duk iye kapitan me' guwaldiya sultanin."
GEN,38,1,"Masa miya'an, tahala' si Yahud amban me' sakanen, duk pīiye patenna' si lella amban Adullam, inēnan si Hira. "
GEN,38,2,"Pag la'i si Yahud magkesuwa' iye duk dende, anak lella amban Kana'an inēnan si Shua. Maganda iye si dendehin duk magulid siye. "
GEN,38,3,"Betteng dendehin. Pag nganak iye lella, ēnanne si Er. "
GEN,38,4,"Ngiram ne isab iye balik, pag nganak iye lella, ēnanne si Onan. "
GEN,38,5,"Pag la'i iye si Kesib, nganak ne isab iye lella, bu ēnanne si Shela. "
