Book_Code,Chapter,Sentence,Text
MAT,1,1,O yamalavat rana ngarangaran do jya am ineynapo na ni Yeso Kizisto a sivovoong na ni Tawey.
MAT,1,2,Si Tawey am sivovoong na ni Apolahan.
MAT,1,3,O anak na ni Apolahan am si Isa.
MAT,1,4,O anak na ni Isa am si Yakebo.
MAT,1,5,O anak na ni Yakebo am si Yoda kano kakakteh na.
MAT,1,6,O anak na ni Yoda kani Tama am si Veyletse a kani Syala.
MAT,1,7,O anak na ni Veyletse am si Heselon.
MAT,1,8,O anak na ni Heselon am si Yalan.
MAT,1,9,O anak na ni Yalan am si Aminata.
MAT,1,10,O anak na ni Aminata am si Nason.
MAT,1,11,O anak na ni Nason am si Saarmen.
MAT,1,12,O anak na ni Saarmen a kani Laha am si Poatse.
MAT,1,13,O anak na ni Poatse a kani Lote am si Opeyte.
MAT,1,14,O anak na ni Opeyte am si Yesi.
MAT,1,15,O anak na ni Yesi am si Tawey.
MAT,1,16,O anak na ni Tawey am si Solomen.
MAT,1,17,O ina na am mina mavakes na ni Odiya.
MAT,1,18,O anak na ni Solomen am si Lopoan.
MAT,1,19,O anak na ni Lopoan am si Apiya.
MAT,1,20,O anak na ni Apiya am si Yasa.
MAT,1,21,O anak na ni Yasa am si Yesava.
MAT,1,22,O anak na ni Yesava am si Yelan.
MAT,1,23,O anak na ni Yelan am si Ociya.
MAT,1,24,O anak na ni Ociya am si Yetan.
MAT,1,25,O anak na ni Yetan am si Ahatse.
MAT,1,26,O anak na ni Ahatse am si Sisicya.
MAT,1,27,O anak na ni Sisicya am si Manase.
MAT,1,28,O anak na ni Manase am si Amen.
MAT,1,29,O anak na ni Amen am si Yeseya.
MAT,1,30,No karakep da so Isedi a tao a yangay do Papilon am meytaodtod si Yeseya.
MAT,1,31,O anak na am si Yoyacin a kano kakakteh na.
MAT,1,32,Yangay da sira do Papilon am meytaodtod si Yekeniya.
MAT,1,33,O anak na am si Salati.
MAT,1,34,O anak na ni Salati am si Solopapey.
MAT,1,35,O anak na ni Solopapey am si Apio.
MAT,1,36,O anak na ni Apio am si Idiacing.
MAT,1,37,O anak na ni Idiacing am si Aso.
MAT,1,38,O anak na ni Aso am si Sato.
MAT,1,39,O anak na ni Sato am si Asin.
MAT,1,40,O anak na ni Asin am si Idio.
MAT,1,41,O anak na ni Idio am si Idiasa.
MAT,1,42,O anak na ni Idiasa am si Matan.
MAT,1,43,O anak na ni Matan am si Yakebo.
MAT,1,44,O anak na ni Yakebo am si Yoseyvo a kahanghangan ni Madiya.
MAT,1,45,O meyngaran si Yeso am anak na ni Madiya.
MAT,1,46,Si Yeso am Misayya.
MAT,1,47,No ko vilangan am no yapwen ji Apolahan a kangay na ji Tawey am apat o ikarwa na (14) no katatapilan da rana.
MAT,1,48,No yapwen ji Tawey a kangay na do nirakpan da so Isedi a yangay do Papilon am akman sang a apat so ikarwa (14) so katatapilan sira.
MAT,1,49,"No vilangan o niyan da no Isedi a tao do Papilon a kangay na do cinatazak na no Misayya am akman sang, ta apat so ikarwa (14) o katatapilan da."
MAT,1,50,Kasasaodan ni Yeso Kizisto no katazak na.
MAT,1,51,"Si Madiya a ina na a nitamtamkan ni Yoseyvo am ji pa nizomagpit do vahay da am katenngan na rana ni Madiya o kapangalavat na so metdeh, do kowyat na jya no Seyzi na ni Ama ta do to."
MAT,1,52,O mangay na seksekan a tao a meyngaran so Yoseyvo am tey yapya o ahahapan na so vazay na do icyatatao na.
MAT,1,53,Am ori o naknakman na sya do onowned na so kato na rana ngaolyan so tamtamek da.
MAT,1,54,Ta ji nakzan o kapeyrengerengay da jya no tao a katenngan.
MAT,1,55,Naknakmen na o akman sang a vazay am mangay na patateynepan no tinsi ni Ama ta do to.
MAT,1,56,"Maniring am, ""Mo Yoseyvo a sivovoong ni Tawey, ji ka nyahey."
MAT,1,57,Ta ahapen mo si Madiya kataned mo do vahay.
MAT,1,58,Ta o na alavaten am yapo do Seyzi na ni Ama ta do to.
MAT,1,59,Si Madiya am mangahanas so mahakay.
MAT,1,60,"No si malikey am ingaran mo jya si Yeso, ta iya o mapatastas so omraralay nya tao do peyraratenan da."""
MAT,1,61,O aro a vazay eya am todey mangononong do mina ciring no panoyonoywan na so ciring ni Ama ta do to.
MAT,1,62,"Ta o mina ciring na am, ""Amyan so ji meylimoteng so onowned a mavakes a mangalavat so mahakay."
MAT,1,63,"O ngaran na am Imaneydi."""
MAT,1,64,"O peypeypangayan na am, ""Macilovot jyaten si Ama ta do to."""
