Book_Code,Chapter,Verse,Text
MAT,1,1,O yamalavat rana ngarangaran do jya am ineynapo na ni Yeso Kizisto a sivovoong na ni Tawey. Si Tawey am sivovoong na ni Apolahan.
MAT,1,2,O anak na ni Apolahan am si Isa. O anak na ni Isa am si Yakebo. O anak na ni Yakebo am si Yoda kano kakakteh na. 
MAT,1,3,O anak na ni Yoda kani Tama am si Veyletse a kani Syala. O anak na ni Veyletse am si Heselon. O anak na ni Heselon am si Yalan. 
MAT,1,4,O anak na ni Yalan am si Aminata. O anak na ni Aminata am si Nason. O anak na ni Nason am si Saarmen. 
MAT,1,5,O anak na ni Saarmen a kani Laha am si Poatse. O anak na ni Poatse a kani Lote am si Opeyte. O anak na ni Opeyte am si Yesi. 
MAT,1,6,O anak na ni Yesi am si Tawey. O anak na ni Tawey am si Solomen. O ina na am mina mavakes na ni Odiya. 
MAT,1,7,O anak na ni Solomen am si Lopoan. O anak na ni Lopoan am si Apiya. O anak na ni Apiya am si Yasa. 
MAT,1,8,O anak na ni Yasa am si Yesava. O anak na ni Yesava am si Yelan. O anak na ni Yelan am si Ociya. 
MAT,1,9,O anak na ni Ociya am si Yetan. O anak na ni Yetan am si Ahatse. O anak na ni Ahatse am si Sisicya. 
MAT,1,10,O anak na ni Sisicya am si Manase. O anak na ni Manase am si Amen. O anak na ni Amen am si Yeseya. 
MAT,1,11,No karakep da so Isedi a tao a yangay do Papilon am meytaodtod si Yeseya. O anak na am si Yoyacin a kano kakakteh na.
MAT,1,12,Yangay da sira do Papilon am meytaodtod si Yekeniya. O anak na am si Salati. O anak na ni Salati am si Solopapey. 
MAT,1,13,O anak na ni Solopapey am si Apio. O anak na ni Apio am si Idiacing. O anak na ni Idiacing am si Aso. 
MAT,1,14,O anak na ni Aso am si Sato. O anak na ni Sato am si Asin. O anak na ni Asin am si Idio. 
MAT,1,15,O anak na ni Idio am si Idiasa. O anak na ni Idiasa am si Matan. O anak na ni Matan am si Yakebo. 
MAT,1,16,O anak na ni Yakebo am si Yoseyvo a kahanghangan ni Madiya. O meyngaran si Yeso am anak na ni Madiya. Si Yeso am Misayya.
MAT,1,17,"No ko vilangan am no yapwen ji Apolahan a kangay na ji Tawey am apat o ikarwa na (14) no katatapilan da rana. No yapwen ji Tawey a kangay na do nirakpan da so Isedi a yangay do Papilon am akman sang a apat so ikarwa (14) so katatapilan sira. No vilangan o niyan da no Isedi a tao do Papilon a kangay na do cinatazak na no Misayya am akman sang, ta apat so ikarwa (14) o katatapilan da."
MAT,1,18,"Kasasaodan ni Yeso Kizisto no katazak na. Si Madiya a ina na a nitamtamkan ni Yoseyvo am ji pa nizomagpit do vahay da am katenngan na rana ni Madiya o kapangalavat na so metdeh, do kowyat na jya no Seyzi na ni Ama ta do to. "
MAT,1,19,O mangay na seksekan a tao a meyngaran so Yoseyvo am tey yapya o ahahapan na so vazay na do icyatatao na. Am ori o naknakman na sya do onowned na so kato na rana ngaolyan so tamtamek da. Ta ji nakzan o kapeyrengerengay da jya no tao a katenngan. 
MAT,1,20,"Naknakmen na o akman sang a vazay am mangay na patateynepan no tinsi ni Ama ta do to. Maniring am, ""Mo Yoseyvo a sivovoong ni Tawey, ji ka nyahey. Ta ahapen mo si Madiya kataned mo do vahay. Ta o na alavaten am yapo do Seyzi na ni Ama ta do to. "
MAT,1,21,"Si Madiya am mangahanas so mahakay. No si malikey am ingaran mo jya si Yeso, ta iya o mapatastas so omraralay nya tao do peyraratenan da."" "
MAT,1,22,"O aro a vazay eya am todey mangononong do mina ciring no panoyonoywan na so ciring ni Ama ta do to. Ta o mina ciring na am, "
MAT,1,23,"""Amyan so ji meylimoteng so onowned a mavakes a mangalavat so mahakay. O ngaran na am Imaneydi."" O peypeypangayan na am, ""Macilovot jyaten si Ama ta do to."""
MAT,1,24,Mayokay si Yoseyvo am to na mangozai o mina ciring na jya no tinsi na ni Ama ta do to a mapasakay si Madiya. 
MAT,1,25,Am no kaji na pa tazakan no kanakan a mahakay am ji pa nimacitovong si Yoseyvo ji Madiya. Matazak rana a tao o kanakan am ngaranan na ni Yoseyvo a si Yeso.
MAT,2,1,No kapeypanirsirngen da pa si Helote am matazak a tao si Yeso do Podiheng a ili do Yotay. O manitanita rana so mata no hanit a nimapo do teyhesa ka ili am mangay sira do Yelosaleng. 
MAT,2,2,"Maniring sira am, ""Wanjin jya o nimatazak a tao a panirsirngen no tao do Yotay. Ta namen nimacita o mata no hanit do daddan no araw a yongkad no kanimatazak na rana. Ori o namen nyai a yaomraralay nya."" "
MAT,2,3,Mamizing na no panirsirngen a meyngaran si Helote am marahet o onowned na. Akman sang sira o tao do Yelosaleng a mamogaw. 
MAT,2,4,"Makarahan am lovoten na ni Helote o panipanirsirngen no mapatanatanang so nakem da si Ama ta do to a kano mangnanao no iwawalam na ni Ama ta do to. Maniring jira am, ""Do wanjin o na katazakan no Misayya a ipanci da no panoyonoywan na so ciring ni Ama ta do to no kakwa."" "
MAT,2,5,"Maniring sira am, ""Do Podiheng a ili do Yotay. Ta o yadomket a ciriciring da no panoyonoywan na so ciring ni Ama ta do to am, "
MAT,2,6,"'Inyo rana tao a meyvahay do Podiheng a macinapnap do Yotay am tana ney likey na o ili nyo am ney manhama kamo a tao. Ta amyan jinyo so asa ka tao a makayokod ninyo a Isedi a tao.'"""
MAT,2,7,Makarahan am lovoten na ni Helote a panirsirngen o manitanita so mata no hanit a tao a kapanahes na nya jira so araraw na no nipeytotwaw no mata no hanit ang. 
MAT,2,8,"Makarahan am ipanci na sira mangay do Podiheng. Maniring jira am, ""Pakapyahen nyo pala kalahen o kanakan ang. Si makala nyo am ipanci nyo jyaken, ta mangay ko a iraralay."""
MAT,2,9,Mamizing da o ciring na am mangay rana sira. Makarahan am to da cita pa tomwaw o mata no hanit a nimacita da do daddan no araw a meypalanginan nira to meynonozey a mangay a someyked do nikatazakan a tao no kanakan ang. 
MAT,2,10,So nisaray da makacita so mata no hanit ang.
MAT,2,11,Somdep sira do vahay am macita da o kanakan a kano ina na si Madiya. Am ori o nilogod da amraralay no kanakan ang. Makarahan am babahen da rana o nipalolo da ovay a kano mahangno a haneng a kano makdeng a kosozi a yazaw da sya. 
MAT,2,12,"Meysinaoli sira o manitanita so mata no hanit a tao am patareken na o rarahan da ni Ama ta do to, do kanimapatateynep na jira a jyangay ji Helote a panirsirngen."
MAT,2,13,"Mangay rana sira am patateynepan na si Yoseyvo no tinsi ni Ama ta do to. Maniring jya am, ""Peyvangon rana kangay mo nira meyina a somazok do Ayci, kato nyo ngyanan dang a meyvahay mangay no ipanci ko na inyo a komaro do dang. Ta si Helote am na kalahen o kanakan a yawakwaken."" "
MAT,2,14,"Am ori o nyangayan na ni Yoseyvo nira meyina do Ayci a meyvahay do dang, "
MAT,2,15,"mangay do nikawakwak ni Helote. O icyakman na sang no vazay am pangononongan na o mina ciring no panoyonoywan na so ciring ni Ama ta do to. Ta maniring am, ""Nipeysinaoli ko o anak ko a apo do Ayci."""
MAT,2,16,"Katenngan ni Helote o kanimlita da jya no manitanita so mata no hanit am meyoyaoya. Am ori o nipanovoy na so itaysang a mangay omwakwak so anak da mahakay a mablit rana adwa so kakawakawan a kano jyablit pa so ikadwa so kakawakawan a minalikey do Podiheng a kado peycyeylilyan na, do gazagazan na so araraw no nipakacittan da so mata no hanit. "
MAT,2,17,"O icyakman na sang am todey mangononong o mina ciring no panoyonoywan na so ciring ni Ama ta do to a meyngaran so Yedimi. Ta maniring am, "
MAT,2,18,"""Makamizing do Lama so sivosivovoong ni Reyci a omlololos a amlavi do ananak da a jya nimakey a padnadnahen da so pahad, do kanimamimin no anak da niwakwak da."""
MAT,2,19,Mawakwak si Helote am patateynepan no tinsi ni Ama ta do to si Yoseyvo do Ayci. 
MAT,2,20,"Maniring jya am, ""Peyvangon rana, kangay mo nira meyina do Isedi. Ta yarana nimawakwak o yapwa amwakwak si Yeso."" "
MAT,2,21,Makarahan am ipeysinaoli na rana ni Yoseyvo sira meyina yangay do Isedi. 
MAT,2,22,"Ikongo do nimamizing na o anak ni Helote a meyngaran so Acilaw a omlit do ama na a panirsirngen no Yotay, am ori o ji na nimangai do Isedi. Am ori o nipatateynepan na pa ji Yoseyvo ni Ama ta do to. So nipananawan na no angayan da. Ori o nyangay da tomayo do Cyadidi. "
MAT,2,23,"O meyngaran so Nasale a ili am ori rana o nikaplinan da meyvahay. O icyakman na sang no vazay am todey mangononong o mina ciring no panoyonoywan na so ciring ni Ama ta do to. Ta maniring sira am, ""Iya rana am ngaranan da tao do Nasale."""
MAT,3,1,No kano nang am nimangay o nimanaktak a si Yowani do kabwan no nihakawan no tao do Yotay a mangnanao. 
MAT,3,2,"Maniring am, ""Mamlis kamo na, ta yarana makeykai o na katalamozong ninyo ni Ama ta do to."" "
MAT,3,3,"O mina ciring no panoyonoywan na so ciring ni Ama ta do to a meyngaran so Isayya am si Yowani o peycirngan na sya. Ta maniring am, ""Amyan so tao a amlololos do kabwan no nihakawan no tao a manci no, 'Inyo rana am wadwaden nyo o rarahan no Panirsirngen ta. So katazineng na rana no pangonongan na.'"""
MAT,3,4,O ayob na ni Yowani am niparing a bobow no baka. O abtek na am kolit no baka. O kanen na am zozon a kano maganinem a amyan do vahay no tapipi. 
MAT,3,5,Nimai pa sira o tao a apo do Yelosaleng a kado peycyeylilyan na do Yotay a kano macisngen so ili do ayo a meyngaran so Yotan a malovot do tangain na. 
MAT,3,6,Ipanci da o raraten da. Am ori o nitaktakan na jira ni Yowani do meyngaran so Yotan a ayo.
MAT,3,7,"Macita ni Yowani o aro a tao a macyagom do Vadisay a kano macyagom do Satokay a mai a manci ni Yowani a tomaktak jira am pamizngen na sira. Maniring jira am, ""Inyo a yakmey mavowaw, sino ipanci jinyo o yanyo katayo no oyaoya na ninyo ni Ama ta do to. "
MAT,3,8,Ta si mamlis kamo na so icicirawat am ori o ikanoyong nyo rana yana nikomaro do peyraratenan nyo. 
MAT,3,9,"Ji nyo mancyan o kapakaliklik nyo so peyoyaoyyan na ni Ama ta do to, do nyo kapeyineynapo si Apolahan. To ko na macitangayan jinyo am makamaog si Ama ta do to do vato ito so sivosivovoong na ni Apolahan. "
MAT,3,10,Yana mazomtad o zaig do atngeh no kayo. O ji malasi a kayo am miminen na atbahen a kapasleb na sya do apoy.
MAT,3,11,Ko taktakan inyo no ranom do nyo na kapamlis. Am o manownowji pa ka nyaken a yamai am taktakan na inyo no Seyzi a kano apoy. So ikaizaizay na pa ka nyaken. So ji ko macingai jya. 
MAT,3,12,"Yamyan do lima na so ipaninigi. So cigyan na so kadai a kapangay na so pipya kadai do peyvokavokan, kasleb na so ata na do jyahesep a lila no apoy."""
MAT,3,13,No kanang am nimapo si Yeso do Cyadidi a kapeypangay na do Yotan a ayo a mangay ji Yowani a manci nya tomaktak jya. 
MAT,3,14,"Am naknakmen ni Yowani o kazazat na do nakenakem ni Yeso. Maniring ji Yeso am, ""Beken a yaken o taktakan mo a. Ikongo mo yai jyaken."" "
MAT,3,15,"Maniring si Yeso jya am, ""To ta macyozai o akman sya vazay an. Ta o ikakman na sya am ahapen ta o vazay ni Ama ta do to."" Makarahan am to na rana amya ni Yowani a taktakan si Yeso. "
MAT,3,16,Meypapowpow si Yeso apo do ranom am todacyangi o hanit. So nipakacita na so Seyzi na ni Ama ta do to a akmey hato a meyhekas a someyked do kataotao na. 
MAT,3,17,"Meyratateng am amyan so ciring a apo do teyngato. Maniring am, ""Iya rana ya am Anak ko a ko tey kaglaw. So yako sarayan nya."""
MAT,4,1,Makarahan am ipeypalanginan no Seyzi si Yeso a yangay do kabwan no nihakawan no tao a littan ni Satan. 
MAT,4,2,Makasikapat (40) so araraw si Yeso a jya nikoman am maliliw na o kakcin na. 
MAT,4,3,"Ori o nyangay ni Satan ji Yeso. Maniring jya am, ""No ka manoyong a Anak no Tao do to am pancyan pala o aro a vato a kapeyvaliw na a myanpaw."" "
MAT,4,4,"Tovisan ni Yeso am, ""O ciring do Seysyo am, 'Beken a kanehen o ikavyay no tao, ta makdekdeng pa o Ciriciring na ni Ama ta do to a ikavyay no tao.'"""
MAT,4,5,Makarahan am yangay na pa ni Satan si Yeso do Yelosaleng a kangay na nya do toktok na no rako a panaralayan da. 
MAT,4,6,"Maniring jya am, ""No ka manoyong a Anak no Tao do to am okso pala do teyrahem ito. Ta o ciring do Seysyo am, 'Manovoy o Tao do to so tinsi na a mangay omzat jimo. So tazapyan da jimo no lima da kaji na meyzazan no ai mo do vato.'"""
MAT,4,7,"Tovisan ni Yeso am, ""O ciring do Seysyo am, 'Ji nyo ngileylamdama o Panirsirngen nyo a Tao do to nyo.'"""
MAT,4,8,Am ori o nitanggahan na ni Yeso ni Satan do makarang a tokon a kapacita na no peykamahamahatawan na kano aro a masamasaod no karawan. 
MAT,4,9,"Maniring si Satan am, ""No si meylilitod ka amraralay nyaken am to ko na mimina o makakaday a itoro jimo."" "
MAT,4,10,"Tovisan ni Yeso am, ""Angay rana mo Satan! Ta o ciring do Seysyo am, 'Iraralay nyo o Panirsirngen a Tao do to nyo. So ika iya na no iraralay nyo. Ta abo o ikararwa na a iraralay nyo an.'"""
MAT,4,11,Makarahan am karwan na rana si Yeso ni Satan a kai no aro a tinsi ni Ama ta do to a somidong sya.
MAT,4,12,Mamizing na ni Yeso si Yowani a nipteng da do pamemtengan am meysinaoli do Cyadidi. 
MAT,4,13,"Am ji rana meyvahay si Yeso do Nasale, ta nimangay rana a meyvahay do Cyapaynong. O ili rana ori am amyan ori do Sipolon a kado Navotadi a macisngen do rako a meybebneng a ranom a meyngaran so Cyadidi. "
MAT,4,14,"O icyakman na sang am todey mangononong o ciring no panoyonoywan na so ciring ni Ama ta do to a meyngaran so Isayya. Ta maniring am, "
MAT,4,15,"""O tao do Sipolon a kado Navotadi a macisngen do rako a meybebneng a ranom a kado meyngaran so Yotan a ayo a yanan da no beken a tao do Yotay do Cyadidi am"
MAT,4,16,"o amyan do yakasarisaryan a manyahey no kawakwak da am macita da rana o na cirain ni Ama ta do to a mapatazadang sira."""
MAT,4,17,"Nimyapo no kanang o kapeylimwang na rana ni Yeso no nanao na. Maniring am, ""Karwan nyo o peyraratenan nyo, ta yarana makeykai o yana katalamozong ninyo ni Ama ta do to."""
MAT,4,18,Mangonong si Yeso do pasalan no rako a meybebneng a ranom a ngaranan da Cyadidi am macita na o rarwa ka tao a mangahangahahap a ngaranan da si Pite a si Simong a kano kakteh na a meyngaran so Antele a amzoyo no tawaz da. 
MAT,4,19,"Maniring si Yeso jira am, ""Macilolo kamo jyaken, ta nanawen ko inyo. So icyakma nyoy mangahahap a tao a mapanop so tao."" "
MAT,4,20,Mamizing da am to da rana ngaroi o tawaz da a macilolo ji Yeso.
MAT,4,21,Alikey pa o nyalaman na am macita na ni Yeso o anak na ni Sipitay a meyngaran so Yake a kano kakteh na si Yowani a kano ama da a si Sipitay a tomonod so nyayoma da tawaz do tatala da. Macita na sira ni Yeso am tawagan na sira. 
MAT,4,22,Nimakeykai sira komaro do tatala da kano ama da a macilolo rana ji Yeso.
MAT,4,23,Nilivolivon ni Yeso o peycyeylilyan na do Cyadidi a kapangnanao na so tao do peyneynozyan da do dang a meylimwang no italamozong na ni Ama ta do to a kapangiwakwak na so meykeyngeyngen a tao do dang. 
MAT,4,24,So nipeyyamyamizngan da na do ngaran na ni Yeso do Sidiya. Am ori o nyangayan da no meykeyngeyngen a tao a kano kovotan no kalamsoyan ni Satan a tao a kano mamezamezay a tao a kano ji makapeygonagonay a tao. Nimimin da o akman sang a tao yangay do tangain na. So niteyteyhesan na sira niwakwakan so kataotao. 
MAT,4,25,Aro tao a nimapo do Cyadidi a kado Meykasa ngarnan a ili a kado Yelosaleng a kado aro a ili do katovangan no Yotan a ayo a nimacilolo ji Yeso.
MAT,5,1,"Macita ni Yeso o aro a tao a mangay jya am tomanang do tokon. Amlisna do dang am mangay sira o macinanao jya, "
MAT,5,2,"kananao na sira. Maniring am, "
MAT,5,3,"""O tao a omanoyong do kataotao da a ji makanet so nakenakem ji Ama ta do to am tey yapya sira. Ta macizanod sira do italamozong ni Ama ta do to."
MAT,5,4,"""O amlavi so onowned a tao am mangay o kasaray da, ta mangay na panadnaden o nakem da ni Ama ta do to."
MAT,5,5,"""O mapanalawbo so kataotao da tao am tey yapya sira. Ta mahap da o nipanci na pa ni Ama ta do to a yazaw na sira."
MAT,5,6,"""O manoyong a komakzeb so kahap da so vazay na ni Ama ta do to am tey yapya sira. Ta mahap da o amin da ji Ama ta do to."
MAT,5,7,"""O marilaw no icyatatao da am tey yapya sira. Ta akman sang si Ama ta do to a marilaw nira."
MAT,5,8,"""O ji meylimoteng so onowned a tao am tey yapya sira. Ta mangay kapakacita da si Ama ta do to no makwa."
MAT,5,9,"""O mapeyyalalap so nakem no meykaoya tao am tey yapya sira. Ta abneken na sira ni Ama ta do to a akma ney anak."
MAT,5,10,"""O mahap so vazay na ni Ama ta do to a tao a pakakasin da am tey yapya sira. Ta macikaop rana sira do italamozong ni Ama ta do to."
MAT,5,11,"""No monganay jyaken o ji da ninigan ninyo no tao a pakakasin a tamwaden no marahet a ciring am manoyong katey yapya nyo. "
MAT,5,12,Somaray kamo an. Ta yamyan do teyngato o makdeng a azaw nyo a ipasaray na jinyo ni Ama ta do to. Nimakalapo no kakwa o kakman da sang no panoyonoywan na so ciring ni Ama ta do to a nipakakasi da no tao.
MAT,5,13,"""Inyo rana am akma kamoy asin no tao do karawan. Am no si tomavang ori am ikongo pavowin a kapait na. So ikabo rana no angangayan na. So to rana walici nya zazasagan no tao."
MAT,5,14,"""Inyo rana am akma kamoy zezngang do karawan. Akman so vahay a nipatnek do tokon a abo so ji makacita sya tao. "
MAT,5,15,Abo o mapowzib so nipaciscisan na zampo. Ta to rana pacimalaga a izezak so tao do sahad no vahay. 
MAT,5,16,Akman kamo so zezak ang a peycitacittan da no tao. So inaran nyo si Ama ta do to a tey yapya. Ta no si macita da inyo no tao a tey yapiya so ahahapan sya am admadmain da rana si Ama ta do to.
MAT,5,17,"""Ji nyo mancyan yaken a yambalinas so iwawalam ni Moyse a kano nanao da no panoyonoywan na so ciring ni Ama ta do to. Ta yaken rana am yako patwawen o peypeypangayan na. "
MAT,5,18,To ko na macitangayan jinyo am tana todangay do kaidan no karawan am abo asa ka ciring ni Ama ta do to a mabalinas. 
MAT,5,19,No si amyan so tao a to nazibo no asa ka ciring do nivatvatkan a nanao ni Ama ta do to a kacirara na so tao a akman sya to nazibo nya am imaveveh na tao do italamozong na ni Ama ta do to. Am o tao a mahap so ciring na ni Ama ta do to a mapeyvazay sya a kacirara na so tao a mangozay jya am ney meynakem ori do italamozong na ni Ama ta do to. 
MAT,5,20,Am ori o ko pancyan ninyo a makowyowyat pa kano mangnanao no iwawalam ni Ama ta do to a tao a kano tao a macyagom do Vadisay a mapeyvazay so vazay na ni Ama ta do to. Ta ori saon o ipacikaop nyo do italamozong na ni Ama ta do to am.
MAT,5,21,"""Nimamizing nyo na o ciring da no kamanrarakehan no kakwa a manci no kaji mangapan so tao, ta o mangap so tao am to rana angayan do pacicicyan o akman sang. "
MAT,5,22,Am ko ipanci jinyo am o macioya do akma ney kakteh do cinai am raraten na rana ori. Omavay so akma ney kakteh do cinai a abo so angangayan a tao am to rana angayan o akman sang a tao do pacicicyan. O mapasagsagpyan so akma ney kakteh do cinai am mangay do makotokotod a lila no apoy. 
MAT,5,23,No mapatanang ka so kingking mo ji Ama ta do to a kapakanakem mo so pacioyyan na jimo no akma moy kakteh do cinai am 
MAT,5,24,"to mo pamtadan o kingking mo, ta manmanma pa o kangay mo mapalap so nakem mo a kano yamacioya jimo a kakteh mo a kapiya na rana no nakenakem nyo a kapatanang mo rana so kingking mo. "
MAT,5,25,"No amyan so tao a amrahet so kangangay mo a mangay nimo do pacicicyan am ney yapya na o kato mo rana macisirsirngan jya mapeyyalap so nakem nyo, do ji nyo pa angai do pacicicyan. Ta no si mahahay ka pa am to na rana mancyan imo do mapacici a tao a katoro na nimo do meykalsong a alyowen do pamemtengan. "
MAT,5,26,To ko na macitangayan jimo am no si katorwan mo na o ahapen da jinyo a nizpi do kalasan mo am ori o ipakagag mo so kataotao mo.
MAT,5,27,"""Nimamizing nyo na o ciring da no kamanrarakehan no kakwa a manci no kaji mapasagpyanan so kataotao."
MAT,5,28,To ko na macitangayan jinyo am no makacita so mavakes a kasala no nakenakem am akmey to mangononong o nakenakem jya. 
MAT,5,29,No si asa ka mata mo o nipeyraraten mo am to mo rana ngoswa a iwalit. Ta apyapya pa o kabo no asa ka mata mo a mai jyaken a kano kataotao mo a mangay do kararatan. 
MAT,5,30,No wanan mo do lima mo o nipeyraraten mo am to mo ranangteba a iwalit. Ta apyapya pa o kabo no asa ka lima mo a mai jyaken a kano kataotao mo a mangay do kararatan.
MAT,5,31,"""Nimamizing nyo na o ciring da no kamanrarakehan no kakwa a manci no, 'O mapakaro so kadwan do vahay am meyvatvatek so itoro jya.'"
MAT,5,32,Am to ko na macitangayan jinyo am no amyan so ji na nimapanadnaji jimo no mavakes mo am ori o ipakaro mo sya. Am no abo am marahet o kato mapakarwan so kadwan do vahay. Ta no si mirwa a macivahavahay o mavakes am akmey nipya na o mavakes a mapasagpyan so kataotao na. O mapazagpit rana so akman sang a mavakes a tao am raraten na ori.
MAT,5,33,"""Nimamizing nyo na o ciring da no kamanrarakehan no kakwa a manci no, 'O nipanma ciring am ji ngalalasi. O nipanma ciring do tangain ni Ama ta do to am pangononongan a peyvazain.' "
MAT,5,34,"Am ko pa ipanci jinyo am ji nyo panmanma o ciring nyo. Taosya o kapacipeyyeyyan nyo so nakem a paingen nyo do teyngato, ta akma ney lilisnan ni Ama ta do to o teyngato. "
MAT,5,35,"Taosya o kapacipeyyeyyan nyo so nakem do tana, ta akma ney zazasagan ni Ama ta do to o teyrahem. Taosya o kapacipeyyeyyan nyo so nakem do Yelosaleng, ta ili ori no maizay a Panirsirngen. "
MAT,5,36,Jya to macipeyyeyyan so nakem do oo nyo. Ta ji nyo amaog o asa ka avok nyo a mavaheng a kano malavang. 
MAT,5,37,No meyzezyak kamo am manoyong am manoyong. No malas am todalas. No tey yaro rana o ciring am yapwan na rana no raraten.
MAT,5,38,"""Nimamizing nyo na o ciring da no kamanrarakehan no kakwa a manci no, 'No osowen da o mata mo am osowen mo o mata da. No podpoden da o ngepen mo am podpoden mo o ngepen da.'"
MAT,5,39,Am ko pa ipanci jinyo am taosya o kapatonggal nyo do ji makazid jinyo. No amyan so tao a somiplang so wanan a posngi mo am to mo pa norwan o asa ka posngi mo a siplangen na. 
MAT,5,40,No myan so mangay nimo do pamemtengan a mahap so ayob mo am to mo na norwan o katapil no ayob mo jya. 
MAT,5,41,No amyan so tao amgacigat jimo a omapid do rara na ipangonong do maid a rarahan am marairai pa o apidan mo jya. 
MAT,5,42,No amyan so amin da jimo am to mo na norwan jya. No myan so vooden da jimo am itoro mo jya vooden na.
MAT,5,43,"""Nimamizing nyo na o ciring da no kamanrarakehan no kakwa a manci no, 'Ikarilaw nyo sira o apapnan nyo a kapacioya nyo do kavosoyan nyo.' "
MAT,5,44,Am ko pa ipanci jinyo am ikarilaw nyo sira o macioya jinyo a tao a kapeynozi nyo no mapakakasi jinyo a tao. 
MAT,5,45,Ta ori o ipeyngongyod nyo a akma ney anak ni Ama ta do to. Ta yameyyangay sira o apya so nakenakem a tao a kano marahet so nakenakem a tao a na cirain ni Ama ta do to no araw. So na icyakman sang no cimoy a na itoro do apya so nakenakem a kano marahet so nakenakem a tao. 
MAT,5,46,No si marilaw ninyo a tao o ikarilaw nyo am ta azawan na jinyo ni Ama ta do to. Kakwakwan da no meyraraten a tao a makateneng do kapangarilaw da so marilaw nira. 
MAT,5,47,No si apapnan nyo o peyminaminasi nyo am ikongo peytarkan nyo a kano toda ka tao. Ji da tenngi o akman sang a peyvazain no ji manaralay a tao a. 
MAT,5,48,Inarahen nyo si Ama nyo do to a tey yapya so ahahapan sya.
MAT,6,1,"""Makapzat kamo. Ji nyo mapacitacittan o kakdekdeng nyo a manaralay do tangain no tao. Ta no si makman kamo so sang am ji nyo ngakzeba o keyyan no yazaw na jinyo ni Ama ta do to. "
MAT,6,2,"No mangazaw ka am taosya o kapacita mo nya, akman so tanwasiwasi do peyneynozyan a kado rarahan a mapacita no kasidong da so tao. Ko ipanci pa jinyo am tana mahap da o kazwayan da do karawan am abo rana mahahap da a kadmayan da ji Ama ta do to. "
MAT,6,3,Am ori an ji nyo meycicicyan do tao no mangazaw kamo. Tana ney yapya na kagagan nyo am ji nyo mancyan jya. 
MAT,6,4,Ta si Ama ta do to a makacita jinyo a mapowzowzib so kapangazaw nyo am amyan so yazaw na jinyo.
MAT,6,5,"""No meynozi kamo am ji nyo nginara o tanwasiwasi so nakenakem a makza no keyyan da do peyneynozyan a kado rararahan a meynozi a amngongyod so kapacita nya do tao. To ko na macitangayan jinyo am tana mahap da o kazwayan da do karawan am abo rana o mahahap da a kadmayan da ji Ama ta do to. "
MAT,6,6,No meynozi kamo am somdep kamo do vahay a kapangneb nyo a mapasyasi ji Ama ta do to. Ta iya o makacita jinyo do sahad no vahay nyo. So amizngan na jinyo.
MAT,6,7,"""No meynozi kamo am ji nyo nginara o ji manaralay a tao a omolioli so ciring da abo so peypeypangayan. Ta ipanci da o kamizing na ni Ama ta do to so anaro a ciring. "
MAT,6,8,"Ji nyo nginara sira, ta no ji kamo pa nimeynozi am katenngan na rana ni Ama ta do to o kalahen nyo no nakem. "
