,language1_text,language2_text
1233151,"The book of the generation of Jesus Christ, the son of David, the son of Abraham.",O yamalavat rana ngarangaran do jya am ineynapo na ni Yeso Kizisto a sivovoong na ni Tawey. Si Tawey am sivovoong na ni Apolahan.
1233152,Abraham begat Isaac; and Isaac begat Jacob; and Jacob begat Judas and his brethren; ,O anak na ni Apolahan am si Isa. O anak na ni Isa am si Yakebo. O anak na ni Yakebo am si Yoda kano kakakteh na. 
1233153,and Judas begat Phares and Zara of Thamar; and Phares begat Esrom; and Esrom begat Aram; ,O anak na ni Yoda kani Tama am si Veyletse a kani Syala. O anak na ni Veyletse am si Heselon. O anak na ni Heselon am si Yalan. 
1233154,and Aram begat Aminadab; and Aminadab begat Naasson; and Naasson begat Salmon; ,O anak na ni Yalan am si Aminata. O anak na ni Aminata am si Nason. O anak na ni Nason am si Saarmen. 
1233155,and Salmon begat Booz of Rachab; and Booz begat Obed of Ruth; and Obed begat Jesse; ,O anak na ni Saarmen a kani Laha am si Poatse. O anak na ni Poatse a kani Lote am si Opeyte. O anak na ni Opeyte am si Yesi. 
1233156,and Jesse begat David the king; and David the king begat Solomon of her that had been the wife of Urias; ,O anak na ni Yesi am si Tawey. O anak na ni Tawey am si Solomen. O ina na am mina mavakes na ni Odiya. 
1233157,and Solomon begat Roboam; and Roboam begat Abia; and Abia begat Asa; ,O anak na ni Solomen am si Lopoan. O anak na ni Lopoan am si Apiya. O anak na ni Apiya am si Yasa. 
1233158,and Asa begat Josaphat; and Josaphat begat Joram; and Joram begat Ozias; ,O anak na ni Yasa am si Yesava. O anak na ni Yesava am si Yelan. O anak na ni Yelan am si Ociya. 
1233159,and Ozias begat Joatham; and Joatham begat Achaz; and Achaz begat Ezekias; ,O anak na ni Ociya am si Yetan. O anak na ni Yetan am si Ahatse. O anak na ni Ahatse am si Sisicya. 
1233160,and Ezekias begat Manasses; and Manasses begat Amon; and Amon begat Josias; ,O anak na ni Sisicya am si Manase. O anak na ni Manase am si Amen. O anak na ni Amen am si Yeseya. 
1233161,"and Josias begat Jechonias and his brethren, about the time they were carried away to Babylon: ",No karakep da so Isedi a tao a yangay do Papilon am meytaodtod si Yeseya. O anak na am si Yoyacin a kano kakakteh na.
1233162,"and after they were brought to Babylon, Jechonias begat Salathiel; and Salathiel begat Zorobabel; ",Yangay da sira do Papilon am meytaodtod si Yekeniya. O anak na am si Salati. O anak na ni Salati am si Solopapey. 
1233163,and Zorobabel begat Abiud; and Abiud begat Eliakim; and Eliakim begat Azor; ,O anak na ni Solopapey am si Apio. O anak na ni Apio am si Idiacing. O anak na ni Idiacing am si Aso. 
1233164,and Azor begat Sadoc; and Sadoc begat Achim; and Achim begat Eliud; ,O anak na ni Aso am si Sato. O anak na ni Sato am si Asin. O anak na ni Asin am si Idio. 
1233165,and Eliud begat Eleazar; and Eleazar begat Matthan; and Matthan begat Jacob; ,O anak na ni Idio am si Idiasa. O anak na ni Idiasa am si Matan. O anak na ni Matan am si Yakebo. 
1233166,"and Jacob begat Joseph the husband of Mary, of whom was born Jesus, who is called Christ.",O anak na ni Yakebo am si Yoseyvo a kahanghangan ni Madiya. O meyngaran si Yeso am anak na ni Madiya. Si Yeso am Misayya.
1233167,So all the generations from Abraham to David are fourteen generations; and from David until the carrying away into Babylon are fourteen generations; and from the carrying away into Babylon unto Christ are fourteen generations.,"No ko vilangan am no yapwen ji Apolahan a kangay na ji Tawey am apat o ikarwa na (14) no katatapilan da rana. No yapwen ji Tawey a kangay na do nirakpan da so Isedi a yangay do Papilon am akman sang a apat so ikarwa (14) so katatapilan sira. No vilangan o niyan da no Isedi a tao do Papilon a kangay na do cinatazak na no Misayya am akman sang, ta apat so ikarwa (14) o katatapilan da."
1233168,"Now the birth of Jesus Christ was on this wise: When as his mother Mary was espoused to Joseph, before they came together, she was found with child of the Holy Ghost. ","Kasasaodan ni Yeso Kizisto no katazak na. Si Madiya a ina na a nitamtamkan ni Yoseyvo am ji pa nizomagpit do vahay da am katenngan na rana ni Madiya o kapangalavat na so metdeh, do kowyat na jya no Seyzi na ni Ama ta do to. "
1233169,"Then Joseph her husband, being a just man, and not willing to make her a publick example, was minded to put her away privily. ",O mangay na seksekan a tao a meyngaran so Yoseyvo am tey yapya o ahahapan na so vazay na do icyatatao na. Am ori o naknakman na sya do onowned na so kato na rana ngaolyan so tamtamek da. Ta ji nakzan o kapeyrengerengay da jya no tao a katenngan. 
1233170,"But while he thought on these things, behold, the angel of the Lord appeared unto him in a dream, saying, Joseph, thou son of David, fear not to take unto thee Mary thy wife: for that which is conceived in her is of the Holy Ghost. ","Naknakmen na o akman sang a vazay am mangay na patateynepan no tinsi ni Ama ta do to. Maniring am, ""Mo Yoseyvo a sivovoong ni Tawey, ji ka nyahey. Ta ahapen mo si Madiya kataned mo do vahay. Ta o na alavaten am yapo do Seyzi na ni Ama ta do to. "
1233171,"And she shall bring forth a son, and thou shalt call his name JESUS: for he shall save his people from their sins. ","Si Madiya am mangahanas so mahakay. No si malikey am ingaran mo jya si Yeso, ta iya o mapatastas so omraralay nya tao do peyraratenan da."" "
1233172,"Now all this was done, that it might be fulfilled which was spoken of the Lord by the prophet, saying, ","O aro a vazay eya am todey mangononong do mina ciring no panoyonoywan na so ciring ni Ama ta do to. Ta o mina ciring na am, "
