,language1_text,language2_text
1984202,Niaya o nakatolas a kavoyan sia o pinakayakayapoan ni Jesu Cristo a tayabo ni David a asa ka tayabo ni Abraham.,O yamalavat rana ngarangaran do jya am ineynapo na ni Yeso Kizisto a sivovoong na ni Tawey. Si Tawey am sivovoong na ni Apolahan.
1984203,Si Abraham o ama ni Isaac as si Isaac o ama ni Jacob. Si Jacob o ama da Juda kanira no kakakteh na sa a mahahakay. ,O anak na ni Apolahan am si Isa. O anak na ni Isa am si Yakebo. O anak na ni Yakebo am si Yoda kano kakakteh na. 
1984204,Si Juda a kakovot ni Tamar am ama da Fares kani Zara. Si Fares o ama ni Esrom as si Esrom o ama ni Aram. ,O anak na ni Yoda kani Tama am si Veyletse a kani Syala. O anak na ni Veyletse am si Heselon. O anak na ni Heselon am si Yalan. 
1984205,Si Aram o ama ni Aminadab as si Aminadab o ama ni Naason. Si Naason o ama ni Salmon ,O anak na ni Yalan am si Aminata. O anak na ni Aminata am si Nason. O anak na ni Nason am si Saarmen. 
1984206,as si Salmon o ama ni Boaz as no ina na am si Rahab. Si Boaz o ama ni Obed as no ina ni Obed am si Ruth. As si Obed o ama ni Jesse ,O anak na ni Saarmen a kani Laha am si Poatse. O anak na ni Poatse a kani Lote am si Opeyte. O anak na ni Opeyte am si Yesi. 
1984207,a iya dana so ama no Patol a si David. Si David o ama ni Solomon as no ina ni Solomon am no nakakovot ni Urias. ,O anak na ni Yesi am si Tawey. O anak na ni Tawey am si Solomen. O ina na am mina mavakes na ni Odiya. 
1984208,As si Solomon o ama ni Roboam. Si Roboam o ama ni Abias as si Abias o ama ni Asa. ,O anak na ni Solomen am si Lopoan. O anak na ni Lopoan am si Apiya. O anak na ni Apiya am si Yasa. 
1984209,Si Asa o ama ni Josafat as si Josafat o ama ni Joram. Si Joram am ama ni Ozias. ,O anak na ni Yasa am si Yesava. O anak na ni Yesava am si Yelan. O anak na ni Yelan am si Ociya. 
1984210,Si Ozias o ama ni Jotam as si Jotam o ama ni Ahaz. Si Ahaz o ama ni Ezekias. ,O anak na ni Ociya am si Yetan. O anak na ni Yetan am si Ahatse. O anak na ni Ahatse am si Sisicya. 
1984211,Si Ezekias o ama ni Manases as si Manases o ama ni Amon. Si Amon o ama ni Josias ,O anak na ni Sisicya am si Manase. O anak na ni Manase am si Amen. O anak na ni Amen am si Yeseya. 
1984212,as si Josias o ama ni Jeconias kanira no kakakteh na sa a mahahakay. Nia o tiempo no nakahomis da sira no Babilonia o tawotawo no Israel as kangay da nira a pakovoten do kavahayan da do Babilonia.,No karakep da so Isedi a tao a yangay do Papilon am meytaodtod si Yeseya. O anak na am si Yoyacin a kano kakakteh na.
1984213,As do nakahap da sirawri a iyangay do Babilonia am mian o anak ni Jeconias a si Salatiel. Si Salatiel o ama ni Zorobabel ,Yangay da sira do Papilon am meytaodtod si Yekeniya. O anak na am si Salati. O anak na ni Salati am si Solopapey. 
1984214,as si Zorobabel o ama ni Abiud. Si Abiud o ama ni Eliakim as si Eliakim o ama ni Azor. ,O anak na ni Solopapey am si Apio. O anak na ni Apio am si Idiacing. O anak na ni Idiacing am si Aso. 
1984215,Si Azor o ama ni Zadoc as si Zadoc o ama ni Akim. Si Akim o ama ni Eliud ,O anak na ni Aso am si Sato. O anak na ni Sato am si Asin. O anak na ni Asin am si Idio. 
1984216,as si Eliud o ama ni Eleazar. Si Eleazar o ama ni Matan as si Matan o ama ni Jacob ,O anak na ni Idio am si Idiasa. O anak na ni Idiasa am si Matan. O anak na ni Matan am si Yakebo. 
1984217,as si Jacob o ama ni Jose a kakovot ni Maria as si Maria aya o ina ni Jesus a tawagan so Mesias anmana Cristo a iya so tinovoy no Dios do tana aya.,O anak na ni Yakebo am si Yoseyvo a kahanghangan ni Madiya. O meyngaran si Yeso am anak na ni Madiya. Si Yeso am Misayya.
1984218,"Dawa katorse a ka henerasion a nakayapo di Abraham a manda di David, as alit na am katorse a ka henerasion o nakayapo di David a manda do nakangay daya do Babilonia no Israelita a pakovoten as katorse pa ka henerasion do nakayapo do nakawara da do Babilonia a manda dana do nakawara ni Jesu Cristo.","No ko vilangan am no yapwen ji Apolahan a kangay na ji Tawey am apat o ikarwa na (14) no katatapilan da rana. No yapwen ji Tawey a kangay na do nirakpan da so Isedi a yangay do Papilon am akman sang a apat so ikarwa (14) so katatapilan sira. No vilangan o niyan da no Isedi a tao do Papilon a kangay na do cinatazak na no Misayya am akman sang, ta apat so ikarwa (14) o katatapilan da."
1984219,Niaya o napaparin do nakawara na a tawo ni Jesu Cristo. No ina ni Jesus a si Maria am nachitrato do kapaychakovot da kani Jose amna manam pa kano kapaychakovot as kano kapayasa da asa vahay am mian dana o kovoten ni Maria as no kovoten naya am yapo do Masanto a Espirito. ,"Kasasaodan ni Yeso Kizisto no katazak na. Si Madiya a ina na a nitamtamkan ni Yoseyvo am ji pa nizomagpit do vahay da am katenngan na rana ni Madiya o kapangalavat na so metdeh, do kowyat na jya no Seyzi na ni Ama ta do to. "
1984220,"As si Jose aya a oyod a mapia so dadakay am chinakey nava a ipasnek si Maria do aro a tawo do kapasiay na sia so matalamad a nia so logar a parinyen na, dawa niplano na o kapasiay na sia so oyod a masekreto. ",O mangay na seksekan a tao a meyngaran so Yoseyvo am tey yapya o ahahapan na so vazay na do icyatatao na. Am ori o naknakman na sya do onowned na so kato na rana ngaolyan so tamtamek da. Ta ji nakzan o kapeyrengerengay da jya no tao a katenngan. 
1984221,"Amna do kaari na komtokto nia o plano naya am nawara sia o asa ka anghel do tayenep na a makavata sia, ""Jose, imo a asa ka tayabo ni David, ichamo moava a kakovoten si Maria, ta no kovoten naya am yapo do Masanto a Espirito, ","Naknakmen na o akman sang a vazay am mangay na patateynepan no tinsi ni Ama ta do to. Maniring am, ""Mo Yoseyvo a sivovoong ni Tawey, ji ka nyahey. Ta ahapen mo si Madiya kataned mo do vahay. Ta o na alavaten am yapo do Seyzi na ni Ama ta do to. "
1984222,"as kapayanak na anti so mahakay as ngaranan nio so Jesus, ta iya anti o omlibri so tawotawo na sa do gatogatos da."" ","Si Madiya am mangahanas so mahakay. No si malikey am ingaran mo jya si Yeso, ta iya o mapatastas so omraralay nya tao do peyraratenan da."" "
1984223,"Do niaya sa a napaparin am nakatongtong o vinata no Dios a pinatoyo na do asa ka profeta a makavata sia, ","O aro a vazay eya am todey mangononong do mina ciring no panoyonoywan na so ciring ni Ama ta do to. Ta o mina ciring na am, "
1984224,"""Tiban nio, ta maymanganak anti o asa ka virhen so mahakay as tawagan da anti so Emmanuel,"" a nia so mayinmonmoan so Machichasa diaten o Dios.","""Amyan so ji meylimoteng so onowned a mavakes a mangalavat so mahakay. O ngaran na am Imaneydi."" O peypeypangayan na am, ""Macilovot jyaten si Ama ta do to."""
1984225,Dawa do nakayokay ni Jose am inanohdan na o niyokoyokoran awri sia no anghel no Dios. Dawa inahap na a kakovoten si Maria. ,Mayokay si Yoseyvo am to na mangozai o mina ciring na jya no tinsi na ni Ama ta do to a mapasakay si Madiya. 
1984226,Pero tinodo nava si Maria a manda do nakawara ni Jesus. As do nakawara no metdeh aya am ningaranan sia ni Jose so Jesus.,Am no kaji na pa tazakan no kanakan a mahakay am ji pa nimacitovong si Yoseyvo ji Madiya. Matazak rana a tao o kanakan am ngaranan na ni Yoseyvo a si Yeso.
